t,value
1500457443,0
1500457453,0
1500457463,0
1500457472,0
1500457482,1
1500457492,1
1500457502,1
1500457512,1
1500457521,1
1500457531,1
1500457541,1
1500457551,2
1500457561,2
1500457570,2
1500457580,2
1500457590,2
1500457600,2
1500457610,2
1500457619,2
1500457629,2
1500457639,2
1500457649,2
1500457659,2
1500457668,2
1500457678,2
1500457688,2
1500457698,2
1500457708,2
1500457718,2
1500457727,3
1500457737,3
1500457747,3
1500457757,3
1500457767,3
1500457776,4
1500457786,14
1500457796,14
1500457806,14
1500457816,14
1500457825,14
1500457835,14
1500457845,14
1500457855,14
1500457865,14
1500457874,14
1500457884,14
1500457894,14
1500457904,14
1500457914,14
1500457923,14
1500457933,14
1500457943,14
1500457953,14
1500457963,14
1500457972,14
1500457982,14
1500457992,14
1500458002,14
1500458012,14
1500458021,14
1500458031,14
1500458041,14
1500458051,14
1500458061,14
1500458070,14
1500458080,14
1500458090,14
1500458100,14
1500458110,14
1500458119,14
1500458129,14
1500458139,14
1500458149,14
1500458159,14
1500458168,25
1500458178,25
1500458188,25
1500458198,25
1500458208,36
1500458217,36
1500458227,36
1500458237,36
1500458247,36
1500458257,36
1500458266,36
1500458276,36
1500458286,36
1500458296,36
1500458306,36
1500458315,36
1500458325,36
1500458335,36
1500458345,36
1500458355,36
1500458364,36
1500458374,36
1500458384,36
1500458394,36
1500458404,36
1500458413,36
1500458423,36
1500458433,36
1500458443,36
1500458453,36
1500458462,36
1500458472,36
1500458482,36
1500458492,36
1500458502,36
1500458511,36
1500458521,36
1500458531,36
1500458541,36
1500458551,36
1500458560,36
1500458570,36
1500458580,36
1500458590,36
1500458600,36
1500458609,36
1500458619,36
1500458629,36
1500458639,36
1500458648,36
1500458658,36
1500458668,36
1500458678,36
1500458688,36
1500458698,36
1500458707,36
1500458717,36
1500458727,36
1500458737,36
1500458747,36
1500458756,36
1500458766,36
1500458776,36
1500458786,36
1500458795,36
1500458805,36
1500458815,36
1500458825,36
1500458835,36
1500458844,36
1500458854,36
1500458864,36
1500458874,36
1500458884,36
1500458894,36
1500458903,36
1500458913,36
1500458923,36
1500458933,36
1500458942,36
1500458952,36
1500458962,36
1500458972,36
1500458982,36
1500458991,36
1500459001,36
1500459011,36
1500459021,36
1500459031,36
1500459040,36
1500459050,36
1500459060,36
1500459070,36
1500459080,36
1500459089,36
1500459099,36
1500459109,36
1500459119,36
1500459129,36
1500459138,36
1500459148,36
1500459158,36
1500459168,36
1500459178,36
1500459187,36
1500459197,36
1500459207,36
1500459217,36
1500459227,36
1500459236,36
1500459246,36
1500459256,36
1500459266,36
1500459276,36
1500459286,36
1500459295,36
1500459305,36
1500459315,36
1500459325,36
1500459335,36
1500459344,36
1500459354,36
1500459364,36
1500459374,36
1500459384,36
1500459394,36
1500459403,36
1500459413,36
1500459423,36
1500459433,36
1500459443,36
1500459452,36
1500459462,36
1500459472,36
1500459482,36
1500459492,36
1500459502,36
1500459511,36
1500459521,36
1500459531,36
1500459541,36
1500459551,36
1500459560,36
1500459570,36
1500459580,36
1500459590,36
1500459600,36
1500459610,36
1500459619,36
1500459629,36
1500459639,36
1500459649,36
1500459659,36
1500459668,36
1500459678,36
1500459688,36
1500459698,36
1500459708,36
1500459718,36
1500459727,36
1500459737,36
1500459747,36
1500459757,36
1500459767,36
1500459776,36
1500459786,36
1500459796,36
1500459806,36
1500459816,36
1500459825,36
1500459835,36
1500459845,36
1500459855,36
1500459865,36
1500459874,36
1500459884,36
1500459894,36
1500459904,36
1500459914,36
1500459924,36
1500459933,36
1500459943,36
1500459953,36
1500459963,36
1500459973,36
1500459982,36
1500459992,36
1500460002,36
1500460012,36
1500460022,36
1500460031,36
1500460041,36
1500460051,36
1500460061,36
1500460071,36
1500460080,36
1500460090,36
1500460100,36
1500460110,36
1500460120,36
1500460129,36
1500460139,36
1500460149,36
1500460159,36
1500460169,36
1500460179,36
1500460188,36
1500460198,36
1500460208,36
1500460218,36
1500460228,36
1500460237,36
1500460247,36
1500460257,36
1500460267,36
1500460277,36
1500460286,36
1500460296,36
1500460306,36
1500460316,36
1500460326,36
1500460335,36
1500460345,36
1500460355,36
1500460365,36
1500460375,36
1500460384,36
1500460394,36
1500460404,36
1500460414,36
1500460424,36
1500460434,36
1500460443,36
1500460453,36
1500460463,36
1500460473,315
1500460483,673
1500460492,1056
1500460502,1526
1500460512,2024
1500460522,2336
1500460531,2800
1500460541,3931
1500460551,4770
1500460561,5471
1500460571,6079
1500460580,6638
1500460590,7348
1500460600,8185
1500460610,9342
1500460620,10282
1500460629,11412
1500460639,12577
1500460649,13018
1500460659,13018
1500460669,13728
1500460678,14960
1500460688,16026
1500460698,17034
1500460708,18283
1500460718,19560
1500460727,20567
1500460737,21850
1500460747,23119
1500460757,24857
1500460767,26189
1500460776,27662
1500460786,28868
1500460796,30083
1500460806,31452
1500460816,33415
1500460825,35201
1500460835,37229
1500460845,38686
1500460855,38689
1500460865,39614
1500460874,41192
1500460884,42918
1500460894,44396
1500460904,46048
1500460914,47527
1500460923,49159
1500460933,51008
1500460943,52334
1500460953,54180
1500460962,55461
1500460972,56920
1500460982,58438
1500460992,60143
1500461002,61704
1500461011,63273
1500461021,64991
1500461031,66516
1500461041,68311
1500461051,68713
1500461060,69705
1500461070,71520
1500461080,73512
1500461090,75187
1500461099,76791
1500461109,78044
1500461119,79467
1500461129,81303
1500461139,83327
1500461149,85215
1500461158,87051
1500461168,88803
1500461178,90465
1500461188,92217
1500461197,94095
1500461207,95566
1500461217,97019
1500461227,98886
1500461237,100727
1500461246,102467
1500461256,104508
1500461266,106261
1500461276,107559
1500461285,109469
1500461295,110532
1500461305,112270
1500461315,114186
1500461325,115850
1500461334,117616
1500461344,119652
1500461354,121010
1500461364,122551
1500461374,124020
1500461383,125712
1500461393,127111
1500461403,128803
1500461413,130729
1500461423,132948
1500461432,135133
1500461442,136981
1500461452,138825
1500461462,140882
1500461471,142526
1500461481,144152
1500461491,145608
1500461501,147034
1500461511,148930
1500461520,150507
1500461530,152156
1500461540,153889
1500461550,155924
1500461559,157547
1500461569,159256
1500461579,160132
1500461589,162101
1500461599,163607
1500461608,165068
1500461618,166822
1500461628,168613
1500461638,170311
1500461648,171682
1500461657,172957
1500461667,174581
1500461677,175661
1500461687,176941
1500461696,178291
1500461706,179606
1500461716,180860
1500461726,181853
1500461736,183228
1500461745,184708
1500461755,185867
1500461765,187409
1500461775,188771
1500461784,189821
1500461794,191349
1500461804,192603
1500461814,194027
1500461824,195277
1500461833,196552
1500461843,197865
1500461853,199016
1500461863,200231
1500461872,201451
1500461882,202650
1500461892,204176
1500461902,205396
1500461912,206670
1500461921,207933
1500461931,208430
1500461941,210384
1500461951,211598
1500461960,213081
1500461970,214462
1500461980,215693
1500461990,216995
1500462000,218179
1500462009,219578
1500462019,220966
1500462029,222317
1500462039,223445
1500462048,224688
1500462058,226139
1500462068,227449
1500462078,229098
1500462088,230633
1500462097,231822
1500462107,232869
1500462117,233962
1500462127,235179
1500462136,236441
1500462146,237686
1500462156,239073
1500462166,240519
1500462175,241735
1500462185,242950
1500462195,244183
1500462205,245512
1500462215,246916
1500462224,248256
1500462234,249676
1500462244,251018
1500462254,252228
1500462263,253657
1500462273,254994
1500462283,256264
1500462293,257473
1500462303,259017
1500462312,260295
1500462322,261703
1500462332,262872
1500462342,264285
1500462351,265706
1500462361,267379
1500462371,269170
1500462381,270594
1500462390,271874
1500462400,272961
1500462410,274342
1500462420,275665
1500462429,276751
1500462439,277956
1500462449,279416
1500462459,280778
1500462469,282346
1500462478,283803
1500462488,285126
1500462498,286298
1500462508,287565
1500462517,288999
1500462527,290238
1500462537,291710
1500462547,293015
1500462557,294331
1500462566,295571
1500462576,296756
1500462586,297987
1500462596,299240
1500462605,300344
1500462615,301463
1500462625,302800
1500462635,304254
1500462644,305680
1500462654,306572
1500462664,307700
1500462674,308687
1500462684,310288
1500462693,311656
1500462703,312819
1500462713,313742
