t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1500543729,0,0.000000,0.000000,0.000000,0.000000,events/second
1500543739,0,0.000000,0.000000,0.000000,0.000000,events/second
1500543749,0,0.000000,0.000000,0.000000,0.000000,events/second
1500543759,3613,90.556566,28.736037,5.940359,1.991131,events/second
1500543769,7313,146.559676,81.165316,17.885189,6.060766,events/second
1500543779,10870,181.475214,125.195215,29.365749,10.061064,events/second
1500543789,14514,207.646330,160.269735,39.990604,13.855022,events/second
1500543799,18159,227.278027,192.114711,50.734223,17.764874,events/second
1500543809,21824,242.764720,218.149791,60.928921,21.565227,events/second
1500543819,25531,255.571372,241.585018,71.085108,25.423107,events/second
1500543829,29207,265.765410,261.150030,80.854734,29.220550,events/second
1500543839,32914,274.517273,277.368583,90.226485,32.949637,events/second
1500543849,36571,281.536841,291.458730,99.377242,36.667099,events/second
1500543859,40206,287.395739,302.997494,108.140605,40.313776,events/second
1500543869,43877,292.713037,312.504487,116.555721,43.899314,events/second
1500543879,47552,297.390046,320.506584,124.690394,47.443985,events/second
1500543889,51273,301.787507,328.409207,132.798058,51.030190,events/second
1500543899,54950,305.451393,334.858118,140.587685,54.559114,events/second
1500543909,58635,308.771639,339.824467,148.016975,58.013681,events/second
1500543919,62297,311.644473,344.865060,155.380065,61.489780,events/second
1500543929,65959,314.243679,347.267857,162.102183,64.792707,events/second
1500543939,67500,306.961020,345.011083,167.728266,67.766287,events/second
1500543949,68266,296.940714,292.104427,162.242483,67.021904,events/second
1500543959,72963,304.142197,297.631737,167.506921,69.838659,events/second
1500543969,77727,311.035119,322.881873,177.157018,74.169906,events/second
1500543979,82578,317.732757,348.018803,187.304525,78.728145,events/second
1500543989,87474,324.100605,369.200808,197.099523,83.229368,events/second
1500543999,92093,329.023803,384.940223,206.125766,87.531118,events/second
1500544009,97036,334.725042,400.086266,215.211962,91.903400,events/second
1500544019,101938,339.909236,414.257481,224.301862,96.329759,events/second
1500544029,106860,344.809982,425.854638,233.005926,100.677452,events/second
1500544039,111596,348.849124,434.782328,241.245037,104.917149,events/second
1500544049,116509,353.166974,441.566029,249.026266,109.045440,events/second
1500544059,121432,357.260474,449.565720,257.050084,113.296736,events/second
1500544069,126312,360.997039,455.570368,264.649581,117.446844,events/second
1500544079,131181,364.495324,460.531657,271.973764,121.542260,events/second
1500544089,136007,367.688233,463.844097,278.870444,125.529383,events/second
1500544099,140867,370.802462,467.500030,285.719041,129.532228,events/second
1500544109,145734,373.775008,470.608127,292.341065,133.489876,events/second
1500544119,150586,376.561366,472.518195,298.597181,137.353926,events/second
1500544129,155436,379.206847,474.635242,304.753489,141.210682,events/second
1500544139,157500,375.091428,469.423804,309.257473,144.538476,events/second
1500544149,157785,367.029243,397.667634,299.187079,142.964522,events/second
1500544159,163828,372.422972,389.452006,300.374005,145.074623,events/second
1500544169,169969,377.794825,423.090114,310.478637,150.196373,events/second
1500544179,175857,382.382878,449.338888,319.808133,155.113689,events/second
1500544189,181941,387.192861,473.827385,329.280145,160.125755,events/second
1500544199,187881,391.502235,492.985502,338.122751,164.975897,events/second
1500544209,193923,395.843885,508.525686,346.515421,169.717634,events/second
1500544219,200002,400.085942,525.131151,355.375693,174.657640,events/second
1500544229,206065,404.130179,536.977340,363.470807,179.382919,events/second
1500544239,212157,408.074561,547.803236,371.476254,184.115505,events/second
1500544249,218287,411.941833,557.769271,379.384646,188.851212,events/second
1500544259,224304,415.456503,564.983621,386.782262,193.450351,events/second
1500544269,230309,418.821606,570.829428,393.873755,197.976792,events/second
1500544279,236380,422.184332,575.509766,400.671483,202.432338,events/second
1500544289,242453,425.432601,580.944101,407.566271,206.946784,events/second
1500544299,248524,428.565344,584.436278,413.998867,211.331778,events/second
1500544309,254625,431.642751,587.798530,420.308740,215.698113,events/second
1500544319,260485,434.215811,591.943767,426.690167,220.110096,events/second
1500544329,266540,437.024206,590.708174,431.817864,224.119517,events/second
1500544339,270000,435.555832,592.943180,437.507689,228.332419,events/second
1500544349,270000,428.641134,507.432768,424.383632,226.222645,events/second
1500544359,276799,432.567681,481.199864,421.151429,227.303019,events/second
1500544369,284079,437.113469,519.805886,431.362419,232.886409,events/second
1500544379,291291,441.418463,552.140362,441.153115,238.378605,events/second
1500544389,298471,445.547189,575.437600,449.766955,243.522432,events/second
1500544399,305376,449.150004,597.113776,458.530737,248.755968,events/second
1500544409,312325,452.712132,612.623320,466.361421,253.711793,events/second
1500544419,319075,455.888157,622.967502,473.362731,258.421084,events/second
1500544429,326239,459.557853,633.121230,480.406645,263.168580,events/second
1500544439,333288,462.965885,646.124174,488.192084,268.193127,events/second
1500544449,340634,466.687379,656.223182,495.507797,273.088702,events/second
1500544459,347967,470.290736,668.159509,503.326338,278.181574,events/second
1500544469,354705,473.004611,677.159374,510.663057,283.142746,events/second
1500544479,361955,476.320796,677.959263,516.243241,287.534767,events/second
1500544489,368905,479.161139,685.008161,523.048253,292.355383,events/second
1500544499,375970,482.076145,686.250308,528.594362,296.772111,events/second
1500544509,383241,485.178106,690.880027,534.725191,301.398529,events/second
1500544519,390603,488.316268,695.496952,540.829082,306.033897,events/second
1500544529,397772,491.138664,701.312610,547.155285,310.761267,events/second
1500544539,404787,493.703982,702.968033,552.562788,315.195901,events/second
1500544549,405000,488.012035,648.136772,546.138339,315.673286,events/second
1500544559,408892,486.835551,549.227604,528.356106,312.226216,events/second
1500544569,417263,490.956826,591.576386,538.050323,317.879853,events/second
1500544579,425838,495.219477,630.042004,547.992276,323.661996,events/second
1500544589,434299,499.253031,664.488874,558.032434,329.524400,events/second
1500544599,442922,503.379057,693.202921,567.637900,335.285861,events/second
1500544609,451370,507.215669,717.812092,577.009602,341.011929,events/second
1500544619,459864,511.018155,738.076521,585.939703,346.628692,events/second
1500544629,468255,514.623840,754.194404,594.362334,352.111388,events/second
1500544639,476645,518.150088,767.131064,602.355382,357.481640,events/second
1500544649,485237,521.817700,778.576823,610.196704,362.829992,events/second
1500544659,493634,525.199803,790.359113,618.245424,368.276769,events/second
1500544669,501761,528.226429,800.141885,625.959188,373.637695,events/second
1500544679,509491,530.776422,799.896698,631.568840,378.313729,events/second
1500544689,518797,534.898737,804.767126,637.995669,383.270819,events/second
1500544699,527168,537.982773,816.066758,645.910965,388.755189,events/second
1500544709,535736,541.203468,820.564779,652.435038,393.794724,events/second
1500544719,544190,544.245748,823.421195,658.570844,398.721414,events/second
1500544729,552802,547.384182,828.979157,665.166773,403.816024,events/second
1500544739,561190,550.241544,832.544016,671.308943,408.774618,events/second
1500544749,562500,546.170791,786.049181,666.988881,410.237627,events/second
1500544759,565688,543.984362,665.376267,645.122384,405.704661,events/second
1500544769,573946,546.668556,674.847264,647.736303,409.227057,events/second
