t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1500285394,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285404,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285414,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285424,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285434,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285443,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285453,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285485,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285495,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285504,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285514,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285524,0,0.000000,0.000000,0.000000,0.000000,events/second
1500285534,97,1.617542,0.000000,0.000000,0.000000,events/second
1500285544,1923,27.484144,15.860702,3.300136,1.107404,events/second
1500285554,3793,47.431706,41.921343,9.276746,3.145988,events/second
1500285564,5621,62.478121,64.153915,15.096268,5.175250,events/second
1500285574,7421,74.234079,81.598757,20.432871,7.083709,events/second
1500285583,9180,83.479176,96.819659,25.695905,9.005305,events/second
1500285593,11004,91.724845,109.495954,30.726373,10.884930,events/second
1500285603,12838,98.778524,120.810224,35.722403,12.787910,events/second
1500285613,14658,104.724196,130.255782,40.531340,14.662088,events/second
1500285623,16518,110.143820,138.303083,45.186145,16.516690,events/second
1500285633,18424,115.173354,146.621365,50.010340,18.459165,events/second
1500285643,20245,119.110968,152.229182,54.376489,20.279451,events/second
1500285653,22078,122.677679,156.995276,58.600318,22.079715,events/second
1500285662,23870,125.653111,160.675325,62.612838,23.835697,events/second
1500285672,25647,128.255820,162.965905,66.319593,25.513662,events/second
1500285682,27476,130.858301,165.930846,70.121747,27.246075,events/second
1500285692,29314,133.265118,168.767477,73.868288,28.982570,events/second
1500285702,31162,135.506089,171.196780,77.498451,30.702076,events/second
1500285712,32960,137.351916,172.960817,80.947286,32.381585,events/second
1500285722,34824,139.314081,174.246139,84.234835,34.026069,events/second
1500285732,36707,141.198422,176.387033,87.643164,35.729625,events/second
1500285741,38576,142.891309,178.093716,90.916888,37.406631,events/second
1500285751,40357,144.148024,178.820070,93.934584,39.015252,events/second
1500285761,42121,145.261117,177.425114,96.426556,40.462386,events/second
1500285771,43985,146.632553,179.083739,99.438062,42.095882,events/second
1500285781,45000,145.176488,179.711195,102.186536,43.656038,events/second
1500285791,45000,140.639253,153.696484,99.184327,43.291558,events/second
1500285801,45635,138.301480,130.101264,95.932678,42.813203,events/second
1500285811,48333,142.169483,140.856690,99.274663,44.522331,events/second
1500285820,51124,146.082139,161.287023,104.999808,47.056892,events/second
1500285830,53825,149.527392,178.999937,110.636460,49.597428,events/second
1500285840,56638,153.089128,193.765830,116.026140,52.088174,events/second
1500285850,59403,156.337049,207.034424,121.410994,54.609749,events/second
1500285860,62124,159.305577,216.898464,126.330104,57.006146,events/second
1500285870,64857,162.155688,225.363968,131.111250,59.383837,events/second
1500285880,67607,164.908190,233.023677,135.840669,61.770627,events/second
1500285890,70293,167.377256,239.207486,140.352394,64.110010,events/second
1500285899,72997,169.773290,244.143214,144.643127,66.398391,events/second
1500285909,75819,172.328628,248.447221,148.816934,68.669309,events/second
1500285919,78540,174.545930,253.355779,153.138745,71.011960,events/second
1500285929,81067,176.245060,254.744898,156.728651,73.129820,events/second
1500285939,83836,178.386800,256.062054,160.209525,75.225989,events/second
1500285949,86553,180.330945,259.232922,164.031269,77.453242,events/second
1500285959,89255,182.165165,260.846842,167.495803,79.577527,events/second
1500285969,92056,184.123939,263.449444,171.106759,81.765746,events/second
1500285978,94790,185.874609,264.868934,174.437354,83.875492,events/second
1500285988,97524,187.557884,266.124242,177.671546,85.966309,events/second
1500285998,100189,189.047443,266.664893,180.693487,87.998518,events/second
