t,value
1500292675,0
1500292684,0
1500292694,0
1500292704,0
1500292714,0
1500292724,0
1500292734,0
1500292743,0
1500292753,0
1500292763,0
1500292773,0
1500292783,0
1500292793,11
1500292802,11
1500292812,11
1500292822,11
1500292832,11
1500292842,11
1500292852,11
1500292862,11
1500292871,11
1500292881,11
1500292891,11
1500292901,11
1500292911,11
1500292921,11
1500292930,11
1500292940,11
1500292950,11
1500292960,11
1500292970,11
1500292980,11
1500292989,11
1500292999,11
1500293009,11
1500293019,11
1500293029,11
1500293039,11
1500293048,11
1500293058,11
1500293068,11
1500293078,11
1500293088,11
1500293098,11
1500293107,11
1500293117,11
1500293127,11
1500293137,11
1500293147,11
1500293157,11
1500293166,11
1500293176,11
1500293186,11
1500293196,11
1500293206,11
1500293216,11
1500293225,11
1500293235,11
1500293245,11
1500293255,11
1500293265,11
1500293275,11
1500293284,11
1500293294,11
1500293304,11
1500293314,11
1500293324,11
1500293334,11
1500293343,11
1500293353,11
1500293363,11
1500293373,11
1500293383,11
1500293393,11
1500293402,11
1500293412,11
1500293422,11
1500293432,11
1500293442,11
1500293452,11
1500293461,11
1500293471,11
1500293481,11
1500293491,11
1500293501,11
1500293511,11
1500293520,11
1500293530,11
1500293540,11
1500293550,11
1500293560,11
1500293569,11
1500293579,11
1500293589,11
1500293599,11
1500293609,11
1500293619,11
1500293628,11
1500293638,11
1500293648,11
1500293658,11
1500293668,11
1500293678,11
1500293687,11
1500293697,11
1500293707,11
1500293717,11
1500293727,11
1500293737,11
1500293746,11
1500293756,11
1500293766,11
1500293776,11
1500293786,11
1500293796,11
1500293805,11
1500293815,11
1500293825,11
1500293835,11
1500293845,11
1500293854,11
1500293864,11
1500293874,11
1500293884,11
1500293894,11
1500293904,11
1500293913,11
1500293923,11
1500293933,11
1500293943,11
1500293953,11
1500293963,11
1500293972,11
1500293982,11
1500293992,11
1500294002,11
1500294012,11
1500294021,11
1500294031,11
1500294041,11
1500294051,11
1500294061,11
1500294071,11
1500294080,11
1500294090,11
1500294100,11
1500294110,11
1500294120,11
1500294129,11
1500294139,11
1500294149,11
1500294159,11
1500294169,11
1500294178,11
1500294188,11
1500294198,11
1500294208,11
1500294218,11
1500294228,11
1500294237,11
1500294247,11
1500294257,11
1500294267,11
1500294277,11
1500294286,11
1500294296,11
1500294306,11
1500294316,11
1500294326,11
1500294336,11
1500294345,11
1500294355,11
1500294365,11
1500294375,11
1500294385,11
1500294394,11
1500294404,11
1500294414,11
1500294424,11
1500294434,11
1500294443,11
1500294453,11
1500294463,11
1500294473,11
1500294483,11
1500294493,11
1500294502,11
1500294512,11
1500294522,11
1500294532,11
1500294542,11
1500294551,11
1500294561,11
1500294571,11
1500294581,11
1500294591,11
1500294600,11
1500294610,11
1500294620,11
1500294630,11
1500294640,11
1500294649,11
1500294659,11
1500294669,11
1500294679,11
1500294689,11
1500294698,11
1500294708,11
1500294718,11
1500294728,11
1500294738,11
1500294748,11
1500294757,11
1500294767,11
1500294777,11
1500294787,11
1500294797,11
1500294806,11
1500294816,11
1500294826,11
1500294836,11
1500294846,11
1500294855,11
1500294865,11
1500294875,11
1500294885,11
1500294895,11
1500294904,11
1500294914,11
1500294924,11
1500294934,11
1500294944,11
1500294953,11
1500294963,11
1500294973,11
1500294983,11
1500294993,11
1500295002,11
1500295012,11
1500295022,11
1500295032,11
1500295042,11
1500295051,11
1500295061,11
1500295071,11
1500295081,11
1500295091,11
1500295100,11
1500295110,11
1500295120,11
1500295130,11
1500295139,11
1500295149,11
1500295159,11
1500295169,11
1500295178,11
1500295188,11
1500295198,11
1500295208,11
1500295218,11
1500295227,11
1500295237,11
1500295247,11
1500295257,11
1500295267,11
1500295276,11
1500295286,11
1500295296,11
1500295306,11
1500295315,11
1500295325,11
1500295335,11
1500295345,11
1500295354,11
1500295364,11
1500295374,11
1500295384,11
1500295393,11
1500295403,11
1500295413,11
1500295423,11
1500295433,11
1500295442,11
1500295452,11
1500295462,11
1500295472,11
1500295481,11
1500295491,11
1500295501,11
1500295511,11
1500295520,11
1500295530,11
1500295540,11
1500295550,11
1500295559,11
1500295569,11
1500295579,11
1500295589,11
1500295598,11
1500295608,11
1500295618,11
1500295628,11
1500295638,11
1500295647,11
1500295657,11
1500295667,11
1500295677,11
1500295686,11
1500295696,11
1500295706,11
1500295716,11
1500295725,11
1500295735,11
1500295745,11
1500295755,11
1500295764,11
1500295774,11
1500295784,11
1500295794,11
1500295803,11
1500295813,11
1500295823,11
1500295833,11
1500295843,11
1500295852,11
1500295862,11
1500295872,11
1500295881,41
1500295891,962
1500295901,1882
1500295911,2789
1500295920,3705
1500295930,4588
1500295940,5509
1500295950,6403
1500295959,7319
1500295969,8312
1500295979,9438
1500295989,10520
1500295998,11606
1500296008,12682
1500296018,13762
1500296028,14838
1500296038,15913
1500296047,16963
1500296057,18042
1500296067,19170
1500296077,20323
1500296086,21458
1500296096,22507
1500296106,22511
1500296115,22511
1500296125,23179
1500296135,24071
1500296145,24940
1500296154,25732
1500296164,26612
1500296174,27492
1500296184,28394
1500296193,29272
1500296203,30088
1500296213,30973
1500296223,31803
1500296232,32639
1500296242,33498
1500296252,34412
1500296262,35278
1500296271,36149
1500296281,37042
1500296291,37953
1500296301,38847
1500296310,39720
1500296320,40602
1500296330,41397
1500296340,42141
1500296349,43052
1500296359,43942
1500296369,44845
1500296379,45011
1500296388,45011
1500296398,45287
1500296408,46173
1500296418,47029
1500296427,47906
1500296437,48825
1500296447,49679
1500296457,50540
1500296466,51446
1500296476,52311
1500296486,53232
1500296495,54093
1500296505,54942
1500296515,55764
1500296525,56637
1500296534,57527
1500296544,58398
1500296554,59288
1500296564,60166
1500296573,61042
1500296583,61938
1500296593,62791
1500296603,63654
1500296612,64521
1500296622,65422
1500296632,66259
1500296642,67157
1500296651,67511
1500296661,67511
1500296671,67598
1500296680,68413
1500296690,69219
1500296700,70070
1500296710,70947
1500296719,71699
1500296729,72636
1500296739,73559
1500296749,74456
1500296758,75314
1500296768,76202
1500296778,77081
1500296788,77997
1500296797,78870
1500296807,79662
1500296817,80569
1500296827,81476
1500296836,82349
1500296846,83254
1500296856,84119
1500296865,84967
1500296875,85780
1500296885,86723
1500296895,87607
1500296904,88462
1500296914,89378
1500296924,90010
1500296933,90011
1500296943,90011
1500296953,90493
1500296963,91290
1500296973,91987
1500296982,92566
1500296992,93362
1500297002,94104
1500297011,94858
1500297021,95497
1500297031,96191
1500297041,96871
1500297050,97553
1500297060,98303
1500297070,99039
1500297079,99733
1500297089,100463
1500297099,101225
1500297109,101969
1500297118,102634
1500297128,103360
1500297138,104073
1500297148,104765
1500297157,105513
1500297167,106086
1500297177,106780
1500297187,107527
1500297196,108241
1500297206,108942
1500297216,109677
1500297225,110370
1500297235,111077
1500297245,111771
1500297255,112440
1500297264,112914
1500297274,113498
1500297284,114079
1500297293,114619
1500297303,115195
1500297313,115790
1500297323,116356
1500297332,116875
1500297342,117452
1500297352,118047
1500297362,118599
1500297371,119158
1500297381,119709
1500297391,120299
1500297400,120867
1500297410,121482
1500297420,122083
1500297430,122617
1500297439,123182
1500297449,123792
1500297459,124349
1500297468,124953
1500297478,125515
1500297488,126097
1500297498,126669
1500297507,127232
1500297517,127821
1500297527,128390
1500297537,128977
1500297546,129554
1500297556,130078
1500297566,130626
1500297575,131242
1500297585,131863
1500297595,132454
1500297605,133058
1500297614,133660
1500297624,134252
1500297634,134821
1500297643,135151
1500297653,135667
1500297663,136179
1500297673,136693
1500297682,137102
1500297692,137622
1500297702,138136
1500297712,138618
1500297721,139096
1500297731,139618
1500297741,140127
1500297750,140656
1500297760,141187
1500297770,141678
1500297780,142178
1500297789,142683
1500297799,143123
1500297809,143625
1500297819,144172
1500297828,144690
1500297838,145206
1500297848,145682
1500297857,146170
1500297867,146655
1500297877,147163
1500297886,147675
1500297896,148191
1500297906,148717
1500297916,149193
1500297925,149694
1500297935,150189
1500297945,150707
1500297954,151240
1500297964,151745
1500297974,152257
1500297984,152764
1500297993,153271
1500298003,153764
1500298013,154271
1500298023,154783
1500298033,155296
1500298042,155809
1500298052,156312
1500298062,156826
1500298072,157326
1500298082,157757
1500298091,158200
1500298101,158664
1500298111,159102
1500298121,159573
1500298131,160014
1500298141,160473
1500298150,160898
1500298160,161326
1500298170,161787
1500298180,162231
1500298190,162664
1500298200,163096
1500298210,163554
1500298219,164000
1500298229,164447
1500298239,164921
1500298249,165324
1500298259,165778
1500298269,166245
1500298279,166679
1500298289,167156
1500298298,167636
1500298308,168130
1500298318,168596
1500298328,169043
1500298338,169497
1500298348,169961
1500298358,170445
1500298368,170891
1500298378,171330
1500298387,171777
1500298397,172234
1500298407,172671
1500298417,173148
1500298427,173592
1500298437,174006
1500298447,174447
1500298457,174890
1500298467,175310
1500298476,175734
1500298486,176166
1500298496,176627
1500298506,177081
1500298516,177524
1500298526,177964
1500298536,178429
1500298546,178881
1500298556,179338
1500298566,179785
1500298576,180010
1500298585,180413
1500298595,180818
1500298605,181245
1500298615,181669
1500298625,182093
1500298635,182510
1500298645,182925
1500298655,183318
1500298665,183730
1500298675,184148
1500298685,184555
1500298695,184987
1500298704,185441
1500298714,185860
1500298724,186272
1500298734,186682
1500298744,187106
1500298754,187504
1500298764,187949
1500298774,188367
1500298784,188735
1500298794,189130
1500298804,189519
1500298814,189928
1500298824,190337
1500298833,190759
1500298843,191177
1500298853,191574
1500298863,192009
1500298873,192428
1500298883,192817
1500298893,193222
1500298903,193635
1500298913,194051
1500298923,194453
1500298933,194873
1500298943,195226
1500298953,195592
1500298962,195957
1500298972,196324
1500298982,196687
1500298992,197095
1500299002,197513
1500299012,197939
1500299022,198358
1500299032,198768
1500299042,199178
1500299052,199605
1500299062,199977
1500299072,200359
1500299082,200730
1500299091,201137
1500299101,201519
1500299111,201942
1500299121,202275
1500299131,202508
1500299141,202926
1500299151,203297
1500299161,203658
1500299171,204005
1500299181,204374
1500299191,204728
1500299201,205100
1500299211,205447
1500299221,205819
1500299230,206197
1500299240,206553
1500299250,206929
1500299260,207274
1500299270,207647
1500299280,208018
1500299290,208392
1500299300,208745
1500299310,209124
1500299320,209498
1500299330,209868
1500299340,210232
1500299350,210586
1500299360,210953
1500299369,211326
1500299379,211711
1500299389,212081
1500299399,212459
1500299409,212831
1500299419,213169
1500299429,213519
1500299439,213903
1500299449,214276
1500299459,214643
1500299469,215006
1500299479,215355
