t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1499957594,200,20.591912,16.800000,16.800000,16.800000,events/second
1499957604,449,22.778402,18.015991,17.059129,16.887307,events/second
1499957614,703,23.660604,19.058739,17.312960,16.974746,events/second
1499957624,961,24.199351,20.085974,17.590870,17.072224,events/second
1499957634,1202,24.179304,20.961903,17.859943,17.168657,events/second
1499957644,1436,24.049098,21.278624,18.028618,17.233109,events/second
1499957654,1669,23.941557,21.476365,18.178267,17.292387,events/second
1499957664,1918,24.061351,21.966777,18.391884,17.374217,events/second
1499957674,2168,24.166405,22.461857,18.615026,17.460682,events/second
1499957684,2406,24.129413,22.771553,18.807822,17.538449,events/second
1499957694,2647,24.126947,23.059924,18.998040,17.616513,events/second
1499957704,2886,24.107885,23.113411,19.142408,17.680424,events/second
1499957714,3101,23.906736,22.760187,19.199455,17.715935,events/second
1499957724,3342,23.920631,23.040074,19.376396,17.791989,events/second
1499957734,3595,24.012904,23.315370,19.554422,17.869449,events/second
1499957744,3827,23.961998,23.320690,19.680167,17.930523,events/second
1499957754,4071,23.987696,23.471672,19.831650,18.000906,events/second
1499957764,4310,23.982882,23.612908,19.981364,18.071607,events/second
1499957774,4543,23.946918,23.562953,20.090080,18.129370,events/second
1499957784,4774,23.904481,23.520667,20.195232,18.186494,events/second
1499957794,5001,23.847013,23.486152,20.296991,18.242993,events/second
1499957804,5231,23.808507,23.292540,20.359543,18.286735,events/second
1499957814,5454,23.742858,23.197099,20.436081,18.335479,events/second
1499957824,5678,23.686808,23.091999,20.503826,18.381504,events/second
1499957834,5910,23.667276,23.080433,20.585770,18.432549,events/second
1499957844,6149,23.676290,23.178744,20.688003,18.490768,events/second
1499957854,6380,23.654860,23.197998,20.773662,18.543911,events/second
1499957864,6613,23.642232,23.183593,20.849955,18.594257,events/second
1499957874,6857,23.668301,23.232807,20.936862,18.648466,events/second
1499957884,7077,23.612718,23.212427,21.010400,18.698685,events/second
1499957894,7314,23.615461,23.151669,21.069180,18.744016,events/second
1499957904,7543,23.593174,23.230095,21.155182,18.798750,events/second
1499957914,7765,23.550886,23.178780,21.212357,18.844064,events/second
1499957924,7979,23.487579,22.813594,21.198838,18.865676,events/second
1499957934,8220,23.505102,22.856923,21.261139,18.912461,events/second
1499957944,8464,23.529921,23.121960,21.370490,18.975294,events/second
1499957954,8696,23.521029,23.238207,21.453281,19.029694,events/second
1499957964,8945,23.557343,23.376261,21.540296,19.085747,events/second
1499957974,9176,23.545602,23.502720,21.627492,19.142257,events/second
1499957984,9414,23.552008,23.382685,21.662789,19.181584,events/second
1499957994,9645,23.540927,23.455070,21.735833,19.233687,events/second
1499958004,9891,23.566183,23.526571,21.806920,19.285264,events/second
1499958014,10119,23.548341,23.565990,21.872152,19.335137,events/second
1499958024,10343,23.522243,23.325582,21.876343,19.364583,events/second
1499958034,10566,23.495054,23.212913,21.900013,19.400327,events/second
