t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1499957594,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957604,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957614,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957624,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957634,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957644,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957654,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957664,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957674,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957684,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957694,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957704,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957714,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957724,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957734,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957744,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957754,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957764,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957774,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957784,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957794,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957804,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957814,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957824,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957834,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957844,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957854,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957864,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957874,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957884,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957894,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957904,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957914,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957924,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957934,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957944,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957954,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957964,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957974,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957984,0,0.000000,0.000000,0.000000,0.000000,events/second
1499957994,0,0.000000,0.000000,0.000000,0.000000,events/second
1499958004,0,0.000000,0.000000,0.000000,0.000000,events/second
1499958014,0,0.000000,0.000000,0.000000,0.000000,events/second
1499958024,0,0.000000,0.000000,0.000000,0.000000,events/second
1499958034,0,0.000000,0.000000,0.000000,0.000000,events/second
