t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1499957594,196,20.109018,15.800000,15.800000,15.800000,events/second
1499957604,449,22.752174,17.213647,16.101667,15.901663,events/second
1499957614,707,23.753374,18.421150,16.396530,16.003285,events/second
1499957624,957,24.082168,19.503407,16.694786,16.108199,events/second
1499957634,1199,24.108891,20.436789,16.986625,16.213067,events/second
1499957644,1428,23.902920,20.843722,17.186963,16.289156,events/second
1499957654,1663,23.846960,21.062813,17.354397,16.355552,events/second
1499957664,1906,23.901121,21.511167,17.572157,16.440008,events/second
1499957674,2153,23.993005,21.997515,17.805699,16.531262,events/second
1499957684,2392,23.983081,22.375939,18.024918,16.619286,events/second
1499957694,2630,23.966514,22.643810,18.224219,16.701960,events/second
1499957704,2868,23.954104,22.838576,18.410376,16.781505,events/second
1499957714,3085,23.780210,22.601107,18.507677,16.832458,events/second
1499957724,3324,23.788491,22.861279,18.697544,16.914968,events/second
1499957734,3573,23.862860,23.121163,18.888127,16.998820,events/second
1499957744,3806,23.826852,23.142864,19.032519,17.068418,events/second
1499957754,4046,23.837581,23.225198,19.185401,17.141679,events/second
1499957764,4283,23.830102,23.401716,19.356192,17.221862,events/second
1499957774,4516,23.802125,23.338767,19.475595,17.285702,events/second
1499957784,4746,23.762015,23.311071,19.597423,17.351022,events/second
1499957794,4971,23.701555,23.308732,19.718780,17.416753,events/second
1499957804,5202,23.674004,23.107818,19.793568,17.467396,events/second
1499957814,5422,23.601709,23.084873,19.898414,17.528498,events/second
1499957824,5650,23.568073,23.030263,19.990452,17.585663,events/second
1499957834,5882,23.553268,22.981479,20.079363,17.642184,events/second
1499957844,6117,23.551294,23.029739,20.184921,17.704697,events/second
1499957854,6348,23.533916,23.085302,20.290269,17.767622,events/second
1499957864,6582,23.529579,23.088198,20.382411,17.826546,events/second
1499957874,6832,23.580677,23.232012,20.501173,17.894778,events/second
1499957884,7051,23.524724,23.322414,20.612081,17.961075,events/second
1499957894,7286,23.523809,23.184642,20.670860,18.010142,events/second
1499957904,7515,23.504381,23.212589,20.760113,18.069673,events/second
1499957914,7732,23.449495,23.134537,20.823738,18.120840,events/second
1499957924,7952,23.406751,22.713457,20.809791,18.146018,events/second
1499957934,8195,23.432334,22.912243,20.914433,18.210708,events/second
1499957944,8438,23.456488,23.139362,21.028649,18.279091,events/second
1499957954,8675,23.462850,23.364876,21.145787,18.348941,events/second
1499957964,8922,23.495709,23.487320,21.243047,18.412534,events/second
1499957974,9155,23.490671,23.563469,21.333321,18.474261,events/second
1499957984,9389,23.488306,23.430271,21.378099,18.520951,events/second
1499957994,9620,23.478892,23.421788,21.444221,18.574844,events/second
1499958004,9861,23.493567,23.516947,21.528283,18.634820,events/second
1499958014,10091,23.482252,23.544410,21.599453,18.690785,events/second
1499958024,10311,23.448636,23.263177,21.602831,18.724045,events/second
1499958034,10537,23.429436,23.172244,21.638609,18.767957,events/second
