t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1500625615,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625625,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625635,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625645,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625655,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625664,572,9.550497,0.175902,0.000000,0.012121,events/second
1500625674,3982,56.973747,35.996294,7.537072,2.545669,events/second
1500625684,7310,91.498616,82.253225,18.355910,6.247674,events/second
1500625694,10708,119.120949,120.947002,28.711167,9.871493,events/second
1500625704,14102,141.172676,154.874375,38.984264,13.542375,events/second
1500625714,17505,159.293106,183.490271,48.892566,17.162920,events/second
1500625724,20961,174.832613,207.909463,58.513272,20.755745,events/second
1500625734,24055,185.192476,226.736436,67.446095,24.184520,events/second
1500625744,27436,196.122943,240.910107,75.675063,27.434943,events/second
1500625754,30865,205.914962,256.669750,84.453223,30.926357,events/second
1500625763,34282,214.406925,269.478457,92.834349,34.342608,events/second
1500625773,37650,221.611614,280.585620,100.999228,37.740946,events/second
1500625783,41074,228.326195,289.207865,108.724123,41.043332,events/second
1500625793,44496,234.322940,297.167224,116.342010,44.358808,events/second
1500625803,47942,239.839285,304.244343,123.784982,47.662998,events/second
1500625813,50044,238.427679,297.794554,128.414753,50.069666,events/second
1500625823,53528,243.428713,297.390284,133.822055,52.754513,events/second
1500625833,57011,247.990577,305.485385,140.912626,56.040080,events/second
1500625843,60484,252.130347,311.770362,147.649468,59.248463,events/second
1500625852,63970,255.990699,317.220336,154.194599,62.431299,events/second
1500625862,67371,259.227092,321.630238,160.484996,65.565614,events/second
1500625872,67500,250.100215,298.591400,161.019566,66.804253,events/second
1500625882,67500,241.164649,252.752163,155.740717,66.066092,events/second
1500625892,69975,241.383179,227.222714,153.378667,66.255753,events/second
1500625902,73519,245.151724,245.021567,159.593637,69.312757,events/second
1500625912,76760,247.699324,263.081603,166.252009,72.554544,events/second
1500625922,80165,250.600395,270.748719,171.031672,75.199016,events/second
1500625932,83822,254.089287,283.045689,176.915016,78.240211,events/second
1500625941,87481,257.378934,296.294983,183.225096,81.457377,events/second
1500625951,91187,260.614920,306.921766,189.198265,84.594918,events/second
1500625961,94842,263.529277,316.632313,195.137289,87.752787,events/second
1500625971,98433,266.113001,323.637384,200.617289,90.786399,events/second
1500625981,102095,268.747432,330.127999,206.028142,93.823216,events/second
1500625991,105543,270.698189,333.695562,210.859347,96.691414,events/second
1500626001,109201,273.076431,336.663576,215.506350,99.518389,events/second
1500626011,112779,275.142962,340.642752,220.333789,102.427389,events/second
1500626021,116317,277.016665,342.850705,224.754082,105.220299,events/second
1500626031,119901,278.909705,345.684279,229.228022,108.048855,events/second
1500626040,123379,280.475779,346.667922,233.253567,110.744487,events/second
1500626050,127079,282.465741,348.584083,237.361273,113.481537,events/second
1500626060,130661,284.112513,350.651342,241.447744,116.227606,events/second
1500626070,134178,285.550895,350.795718,245.064155,118.830436,events/second
1500626080,137860,287.273101,353.054994,249.007348,121.553985,events/second
1500626090,141385,288.604554,354.028438,252.629045,124.183119,events/second
1500626100,144420,288.902581,351.143727,255.349403,126.519957,events/second
1500626110,147609,289.490859,341.646352,256.451808,128.314473,events/second
1500626120,151329,291.077932,344.880319,259.914138,130.896101,events/second
1500626129,154931,292.382331,347.801475,263.325878,133.471741,events/second
1500626139,157496,291.717759,351.295019,266.826732,136.085697,events/second
1500626149,157500,286.420010,306.416860,260.078684,135.259685,events/second
1500626159,157500,281.304358,259.376272,251.552291,133.765118,events/second
