t,value
1500625423,0
1500625433,0
1500625443,0
1500625453,0
1500625462,0
1500625472,0
1500625482,0
1500625492,0
1500625502,0
1500625512,0
1500625522,0
1500625532,0
1500625541,0
1500625551,0
1500625561,0
1500625571,0
1500625581,0
1500625591,0
1500625601,0
1500625610,1
1500625620,1
1500625630,1
1500625640,1
1500625650,1
1500625660,1
1500625670,1
1500625680,1
1500625689,1
1500625699,1
1500625709,1
1500625719,1
1500625729,1
1500625739,1
1500625749,1
1500625759,1
1500625768,1
1500625778,1
1500625788,1
1500625798,1
1500625808,1
1500625818,1
1500625828,1
1500625837,1
1500625847,1
1500625857,1
1500625867,1
1500625877,1
1500625887,1
1500625897,1
1500625907,1
1500625916,1
1500625926,1
1500625936,1
1500625946,1
1500625956,1
1500625966,1
1500625976,1
1500625986,1
1500625995,1
1500626005,1
1500626015,1
1500626025,1
1500626035,1
1500626045,1
1500626055,1
1500626064,1
1500626074,1
1500626084,1
1500626094,1
1500626104,1
1500626114,1
1500626124,1
1500626134,1
1500626143,1
1500626153,1
1500626163,1
1500626173,1
1500626183,1
1500626193,1
1500626203,1
1500626212,1
1500626222,1
1500626232,1
1500626242,1
1500626252,1
1500626262,1
1500626272,1
1500626282,1
1500626291,1
1500626301,1
1500626311,1
1500626321,1
1500626331,1
1500626341,1
1500626351,1
1500626361,1
1500626370,1
1500626380,1
1500626390,1
1500626400,1
1500626410,1
1500626420,1
1500626430,1
1500626439,1
1500626449,1
1500626459,1
1500626469,1
1500626479,1
1500626489,1
1500626499,1
1500626508,1
1500626518,1
1500626528,1
1500626538,1
1500626548,1
1500626558,1
1500626568,1
1500626577,1
1500626587,1
1500626597,1
1500626607,1
1500626617,1
1500626627,1
1500626637,1
1500626647,1
1500626656,1
1500626666,1
1500626676,1
1500626686,1
1500626696,1
1500626706,1
1500626716,1
1500626725,1
1500626735,1
1500626745,1
1500626755,1
1500626765,1
1500626775,1
1500626785,1
1500626794,1
1500626804,1
1500626814,1
1500626824,1
1500626834,1
1500626844,1
1500626854,1
1500626863,1
1500626873,1
1500626883,1
1500626893,1
1500626903,1
1500626913,1
1500626923,1
1500626932,1
1500626942,1
1500626952,1
1500626962,1
1500626972,1
1500626982,1
1500626992,1
1500627001,1
1500627011,1
1500627021,1
1500627031,1
1500627041,1
1500627051,1
1500627061,1
1500627070,1
1500627080,1
1500627090,1
1500627100,1
1500627110,1
1500627120,1
1500627130,1
1500627139,1
1500627149,1
1500627159,1
1500627169,1
1500627179,1
1500627189,1
1500627198,1
1500627208,1
1500627218,1
1500627228,1
1500627238,1
1500627248,1
1500627258,1
1500627267,1
1500627277,1
1500627287,1
1500627297,1
1500627307,1
1500627317,1
1500627327,1
1500627336,1
1500627346,1
1500627356,1
1500627366,1
1500627376,1
1500627386,1
1500627395,1
1500627405,1
1500627415,1
1500627425,1
1500627435,1
1500627445,1
1500627455,1
1500627464,1
1500627474,1
1500627484,1
1500627494,1
1500627504,1
1500627514,1
1500627523,1
1500627533,1
1500627543,1
1500627553,1
1500627563,1
1500627573,1
1500627583,1
1500627592,1
1500627602,1
1500627612,1
1500627622,1
1500627632,1
1500627642,1
1500627651,1
1500627661,1
1500627671,1
1500627681,1
1500627691,1
1500627701,1
1500627711,1
1500627720,1
1500627730,1
1500627740,1
1500627750,1
1500627760,1
1500627770,1
1500627779,1
1500627789,1
1500627799,1
1500627809,1
1500627819,1
1500627829,1
1500627838,1
1500627848,1
1500627858,1
1500627868,1
1500627878,1
1500627888,1
1500627897,1
1500627907,1
1500627917,1
1500627927,1
1500627937,1
1500627947,1
1500627957,1
1500627966,1
1500627976,1
1500627986,1
1500627996,1
1500628006,1
1500628016,1
1500628025,1
1500628035,1
1500628045,1
1500628055,1
1500628065,1
1500628075,1
1500628084,1
1500628094,1
1500628104,1
1500628114,1
1500628124,1
1500628134,1
1500628143,1
1500628153,1
1500628163,1
1500628173,1
1500628183,1
1500628193,1
1500628202,1
1500628212,1
1500628222,1
1500628232,1
1500628242,1
1500628252,1
1500628261,1
1500628271,1
1500628281,1
1500628291,1
1500628301,1
1500628311,1
1500628320,1
1500628330,1
1500628340,1
1500628350,1
1500628360,1
1500628370,1
1500628379,1
1500628389,1
1500628399,1
1500628409,1
1500628419,1
1500628429,1
1500628438,1
1500628448,1
1500628458,1
1500628468,1
1500628478,1
1500628488,1
1500628497,1
1500628507,1
1500628517,1
1500628527,1
1500628537,1
1500628547,1
1500628556,1
