t,value
1500221834,0
1500221843,2
1500221853,2
1500221863,2
1500221873,2
1500221883,2
1500221893,2
1500221902,2
1500221912,2
1500221922,2
1500221932,2
1500221942,2
1500221952,2
1500221961,2
1500221971,3
1500221981,3
1500221991,3
1500222001,3
1500222011,3
1500222020,3
1500222030,3
1500222040,3
1500222050,3
1500222060,3
1500222070,3
1500222079,3
1500222089,3
1500222099,3
1500222109,3
1500222119,3
1500222128,3
1500222138,3
1500222148,3
1500222158,3
1500222168,3
1500222178,3
1500222187,3
1500222197,3
1500222207,3
1500222217,3
1500222227,3
1500222237,3
1500222246,3
1500222256,3
1500222266,3
1500222276,3
1500222286,3
1500222296,3
1500222305,3
1500222315,3
1500222325,3
1500222335,3
1500222345,3
1500222354,3
1500222364,3
1500222374,3
1500222384,3
1500222394,3
1500222404,3
1500222413,3
1500222423,3
1500222433,3
1500222443,3
1500222453,3
1500222463,3
1500222472,3
1500222482,3
1500222492,3
1500222502,3
1500222512,3
1500222521,3
1500222531,3
1500222541,3
1500222551,3
1500222561,3
1500222571,3
1500222580,3
1500222590,3
1500222600,3
1500222610,3
1500222620,3
1500222630,3
1500222639,3
1500222649,3
1500222659,3
1500222669,3
1500222679,3
1500222688,3
1500222698,3
1500222708,3
1500222718,3
1500222728,3
1500222737,3
1500222747,3
1500222757,3
1500222767,3
1500222777,3
1500222787,3
1500222796,3
1500222806,3
1500222816,3
1500222826,3
1500222836,3
1500222846,3
1500222855,3
1500222865,3
1500222875,3
1500222885,3
1500222895,3
1500222904,3
1500222914,3
1500222924,3
1500222934,3
1500222944,3
1500222954,3
1500222963,3
1500222973,3
1500222983,3
1500222993,3
1500223003,3
1500223012,3
1500223022,3
1500223032,3
1500223042,3
1500223052,3
1500223061,3
1500223071,3
1500223081,3
1500223091,3
1500223101,3
1500223111,3
1500223120,3
1500223130,3
1500223140,3
1500223150,3
1500223160,3
1500223169,3
1500223179,3
1500223189,3
1500223199,3
1500223209,3
1500223218,3
1500223228,3
1500223238,3
1500223248,3
1500223258,3
1500223267,3
1500223277,3
1500223287,3
1500223297,3
1500223307,3
1500223317,3
1500223326,3
1500223336,3
1500223346,3
1500223356,3
1500223366,3
1500223375,3
1500223385,3
1500223395,3
1500223405,3
1500223415,3
1500223424,3
1500223434,3
1500223444,3
1500223454,3
1500223464,3
1500223473,3
1500223483,3
1500223493,3
1500223503,3
1500223513,3
1500223522,3
1500223532,3
1500223542,3
1500223552,3
1500223562,3
1500223571,3
1500223581,3
1500223591,3
1500223601,3
1500223611,3
1500223621,3
1500223630,3
1500223640,3
1500223650,3
1500223660,3
1500223670,3
1500223679,3
1500223689,3
1500223699,3
1500223709,3
1500223719,3
1500223728,3
1500223738,3
1500223748,3
1500223758,3
1500223768,3
1500223777,3
1500223787,3
1500223797,3
1500223807,3
1500223817,3
1500223826,3
1500223836,3
1500223846,3
1500223856,3
1500223866,3
1500223875,3
1500223885,3
1500223895,3
1500223905,3
1500223915,3
1500223924,3
1500223934,3
1500223944,3
1500223954,3
1500223964,3
1500223973,3
1500223983,3
1500223993,3
1500224003,3
1500224013,3
1500224022,3
1500224032,3
1500224042,3
1500224052,3
1500224062,3
1500224072,3
1500224081,3
1500224091,3
1500224101,3
1500224111,3
1500224120,3
1500224130,3
1500224140,3
1500224150,3
1500224160,3
1500224169,3
1500224179,3
1500224189,3
1500224199,3
1500224209,3
1500224218,3
1500224228,3
1500224238,3
1500224248,3
1500224258,3
1500224267,3
1500224277,3
1500224287,3
1500224297,3
1500224307,3
1500224317,3
1500224326,3
1500224336,3
1500224346,3
1500224356,3
1500224365,3
1500224375,3
1500224385,3
1500224395,3
1500224405,3
1500224414,3
1500224424,3
1500224434,3
1500224444,3
1500224454,3
1500224463,3
1500224473,3
1500224483,3
1500224493,3
1500224503,3
1500224512,3
1500224522,3
1500224532,3
1500224542,3
1500224552,3
1500224562,3
1500224571,3
1500224581,3
1500224591,3
1500224601,3
1500224611,3
1500224620,3
1500224630,3
1500224640,3
1500224650,3
1500224660,3
1500224670,3
1500224679,3
1500224689,3
1500224699,3
1500224709,3
1500224719,3
1500224728,3
1500224738,3
1500224748,3
1500224758,3
1500224768,3
1500224777,3
1500224787,3
1500224797,3
1500224807,3
1500224817,3
1500224827,3
1500224836,3
1500224846,3
1500224856,3
1500224866,3
1500224876,3
1500224885,3
1500224895,3
1500224905,3
1500224915,3
1500224925,3
1500224935,3
1500224944,3
1500224954,3
1500224964,3
1500224974,3
1500224984,3
1500224993,3
1500225003,3
1500225013,3
1500225023,3
1500225033,3
1500225042,3
1500225052,3
1500225062,3
1500225072,3
1500225082,3
1500225092,3
1500225101,3
1500225111,3
1500225121,3
1500225131,3
1500225141,3
1500225150,3
1500225160,3
1500225170,3
1500225180,3
1500225190,3
1500225199,3
1500225209,3
1500225219,3
1500225229,3
1500225239,3
1500225248,3
1500225258,3
1500225268,3
1500225278,3
1500225288,3
1500225297,3
1500225307,3
1500225317,3
1500225327,3
1500225337,3
1500225346,3
1500225356,3
1500225366,3
1500225376,3
1500225386,3
1500225395,3
1500225405,3
1500225415,3
1500225425,3
1500225435,3
1500225444,3
1500225454,3
1500225464,3
1500225474,3
1500225484,3
1500225493,3
1500225503,3
1500225513,3
1500225523,3
1500225533,3
1500225542,3
1500225552,3
1500225562,3
1500225572,3
1500225582,3
1500225592,3
1500225601,3
1500225611,3
1500225621,3
1500225631,3
1500225641,3
1500225650,3
1500225660,3
1500225670,3
1500225680,3
1500225690,3
1500225699,3
1500225709,3
1500225719,3
1500225729,3
1500225739,3
1500225748,3
1500225758,3
1500225768,3
1500225778,3
1500225788,3
1500225797,3
1500225807,3
1500225817,3
1500225827,3
1500225837,3
1500225846,3
1500225856,3
1500225866,3
1500225876,3
1500225886,3
1500225895,3
1500225905,3
1500225915,3
1500225925,3
1500225935,3
1500225944,3
1500225954,3
1500225964,3
1500225974,3
1500225984,3
1500225993,3
1500226003,3
1500226013,3
1500226023,3
1500226032,3
1500226042,3
1500226052,3
1500226062,3
1500226072,3
1500226082,3
1500226091,3
1500226101,3
1500226111,3
1500226121,3
1500226131,3
1500226140,3
1500226150,3
1500226160,3
1500226170,3
1500226179,3
1500226189,3
1500226199,3
1500226209,3
1500226219,3
1500226228,3
1500226238,3
1500226248,3
1500226258,3
1500226268,3
1500226277,3
1500226287,3
1500226297,3
1500226307,3
1500226317,3
1500226326,3
1500226336,3
1500226346,3
1500226356,3
1500226366,3
1500226375,3
1500226385,3
1500226395,3
1500226405,3
1500226415,3
1500226424,3
1500226434,3
1500226444,3
1500226454,3
1500226464,3
1500226473,3
1500226483,3
1500226493,3
1500226503,3
1500226513,3
1500226522,3
1500226532,3
1500226542,3
1500226552,3
1500226562,3
1500226572,3
1500226581,3
1500226591,3
1500226601,3
1500226611,3
1500226621,3
1500226630,3
1500226640,3
1500226650,3
1500226660,3
1500226669,3
1500226679,3
1500226689,3
1500226699,3
1500226709,3
1500226718,3
1500226728,3
1500226738,3
1500226748,3
1500226758,3
1500226767,3
1500226777,3
1500226787,3
1500226797,3
1500226807,3
1500226816,3
1500226826,3
1500226836,3
1500226846,3
1500226856,3
1500226865,3
1500226875,3
1500226885,3
1500226895,3
1500226904,3
1500226914,3
1500226924,3
1500226934,3
1500226944,3
1500226953,3
1500226963,3
1500226973,3
1500226983,3
1500226993,3
1500227002,3
1500227012,3
1500227022,3
1500227032,3
1500227042,3
1500227051,3
1500227061,3
1500227071,3
1500227081,3
1500227090,3
1500227100,3
1500227110,3
1500227120,3
1500227130,3
1500227139,3
1500227149,3
1500227159,3
1500227169,3
1500227178,3
1500227188,3
1500227198,3
1500227208,3
1500227218,3
1500227227,3
1500227237,3
1500227247,3
1500227257,3
1500227267,3
1500227276,3
1500227286,3
1500227296,3
1500227306,3
1500227316,3
1500227325,3
1500227335,3
1500227345,3
1500227355,3
1500227364,3
1500227374,3
1500227384,3
1500227394,3
1500227404,3
1500227413,3
1500227423,3
1500227433,3
1500227443,3
