t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1500270879,0,0.000000,0.000000,0.000000,0.000000,events/second
1500270889,0,0.000000,0.000000,0.000000,0.000000,events/second
1500270899,0,0.000000,0.000000,0.000000,0.000000,events/second
1500270909,0,0.000000,0.000000,0.000000,0.000000,events/second
1500270918,0,0.000000,0.000000,0.000000,0.000000,events/second
1500270928,1556,25.973581,10.474182,2.165240,0.725760,events/second
1500270938,3395,48.564479,37.185202,8.140043,2.755338,events/second
1500270948,5248,65.676281,59.780880,13.915717,4.761388,events/second
1500270958,7110,79.081744,79.218581,19.567775,6.767389,events/second
1500270968,8989,89.973645,95.885886,25.080379,8.766689,events/second
1500270978,10843,98.656090,109.497452,30.309726,10.709542,events/second
1500270988,12667,105.640092,121.128775,35.390666,12.638671,events/second
1500270998,14498,111.602860,130.386624,40.177640,14.503442,events/second
1500271008,16375,117.040962,139.084835,44.988727,16.408464,events/second
1500271018,18224,121.568704,146.275015,49.608484,18.281295,events/second
1500271028,20043,125.341560,152.173943,54.034688,20.119126,events/second
1500271037,21919,129.005725,156.652988,58.204647,21.899117,events/second
1500271047,23771,132.129394,161.663631,62.505032,23.749857,events/second
1500271057,25409,133.797072,164.721671,66.409320,25.494027,events/second
1500271067,27290,136.513475,165.483298,69.771877,27.078153,events/second
1500271077,29132,138.785274,168.442372,73.542675,28.820888,events/second
1500271087,30922,140.613968,170.120102,77.015522,30.485738,events/second
1500271097,32737,142.392375,172.076296,80.486582,32.169829,events/second
1500271107,34603,144.235080,173.565227,83.807867,33.823165,events/second
1500271117,36485,145.994308,176.097863,87.292292,35.549936,events/second
1500271127,38302,147.368083,177.150444,90.432286,37.180199,events/second
1500271137,40110,148.606722,178.049736,93.467071,38.791457,events/second
1500271147,41868,149.578256,179.189626,96.476237,40.409417,events/second
1500271156,43750,150.910493,178.989025,99.127158,41.921403,events/second
1500271166,45000,150.046521,177.887323,101.517607,43.359615,events/second
1500271176,45000,145.204843,156.816484,99.567918,43.347710,events/second
1500271186,45198,141.284820,132.742288,96.303693,42.868734,events/second
1500271196,47980,145.434848,138.265855,98.548777,44.208606,events/second
1500271206,50699,149.155509,158.951287,104.268023,46.736668,events/second
1500271216,53494,152.880613,176.472634,109.800261,49.236851,events/second
1500271226,56269,156.342442,192.704365,115.454847,51.812037,events/second
1500271236,58995,159.486037,205.306267,120.678748,54.275961,events/second
1500271246,61795,162.658237,216.759651,125.888232,56.764903,events/second
1500271256,64582,165.634346,225.379490,130.705283,59.152087,events/second
