t,value
1500270757,1
1500270767,2
1500270777,2
1500270787,2
1500270797,2
1500270807,2
1500270817,2
1500270827,2
1500270836,2
1500270846,2
1500270856,2
1500270866,2
1500270876,3
1500270886,3
1500270896,3
1500270906,3
1500270916,3
1500270926,3
1500270936,3
1500270946,3
1500270956,3
1500270965,3
1500270975,3
1500270985,3
1500270995,3
1500271005,3
1500271015,3
1500271025,3
1500271035,3
1500271045,3
1500271055,3
1500271065,3
1500271075,3
1500271085,3
1500271095,3
1500271104,3
1500271114,3
1500271124,3
1500271134,3
1500271144,3
1500271154,3
1500271164,3
1500271174,3
1500271184,3
1500271194,3
1500271204,3
1500271214,3
1500271224,3
1500271234,3
1500271243,3
1500271253,3
1500271263,3
1500271273,3
1500271283,3
1500271293,3
1500271303,3
1500271313,3
1500271323,3
1500271333,3
1500271343,3
1500271353,3
1500271363,3
1500271373,3
1500271383,3
1500271392,3
1500271402,3
1500271412,3
1500271422,3
1500271432,3
1500271442,3
1500271452,3
1500271462,3
1500271472,3
1500271482,3
1500271492,3
1500271502,3
1500271512,3
1500271521,3
1500271531,3
1500271541,3
1500271551,3
1500271561,3
1500271571,3
1500271581,3
1500271591,3
1500271601,3
1500271611,3
1500271621,3
1500271631,3
1500271641,3
1500271650,3
1500271660,3
1500271670,3
1500271680,3
1500271690,3
1500271700,3
1500271710,3
1500271720,3
1500271730,3
1500271740,3
1500271750,3
1500271759,3
1500271769,3
1500271779,3
1500271789,3
1500271799,3
1500271809,3
1500271819,3
1500271829,3
1500271839,3
1500271849,3
1500271859,3
1500271869,3
1500271878,3
1500271888,3
1500271898,3
1500271908,3
1500271918,3
1500271928,3
1500271938,3
1500271948,3
1500271958,3
1500271968,3
1500271978,3
1500271987,3
1500271997,3
1500272007,3
1500272017,3
1500272027,3
1500272037,3
1500272047,3
1500272057,3
1500272067,3
1500272077,3
1500272087,3
1500272097,3
1500272106,3
1500272116,3
1500272126,3
1500272136,3
1500272146,3
1500272156,3
1500272166,3
1500272176,3
1500272186,3
1500272196,3
1500272206,3
1500272215,3
1500272225,3
1500272235,3
1500272245,3
1500272255,3
1500272265,3
1500272275,3
1500272285,3
1500272295,3
1500272305,3
1500272315,3
1500272325,3
1500272334,3
1500272344,3
1500272354,3
1500272364,3
1500272374,3
1500272384,3
1500272394,3
1500272404,3
1500272414,3
1500272424,3
1500272434,3
1500272443,3
1500272453,3
1500272463,3
1500272473,3
1500272483,3
1500272493,3
1500272503,3
1500272513,3
1500272523,3
1500272533,3
1500272543,3
1500272553,3
1500272562,3
1500272572,3
1500272582,3
1500272592,3
1500272602,3
1500272612,3
1500272622,3
1500272632,3
1500272642,3
1500272652,3
1500272662,3
1500272671,3
1500272681,3
1500272691,3
1500272701,3
1500272711,3
1500272721,3
1500272731,3
1500272741,3
1500272751,3
1500272761,3
1500272771,3
1500272781,3
1500272790,3
1500272800,3
1500272810,3
1500272820,3
1500272830,3
1500272840,3
1500272850,3
1500272860,3
1500272870,3
1500272880,3
1500272890,3
1500272899,3
1500272909,3
1500272919,3
1500272929,3
1500272939,3
1500272949,3
1500272959,3
1500272969,3
1500272979,3
1500272989,3
1500272999,3
1500273009,3
1500273018,3
1500273028,3
1500273038,3
1500273048,3
1500273058,3
1500273068,3
1500273078,3
1500273088,3
1500273098,3
1500273108,3
1500273118,3
1500273127,3
1500273137,3
1500273147,3
1500273157,3
1500273167,3
1500273177,3
1500273187,3
1500273197,3
1500273207,3
1500273217,3
1500273227,3
1500273237,3
1500273246,3
1500273256,3
1500273266,3
1500273276,3
1500273286,3
1500273296,3
1500273306,3
