t,value
1498565440,255
1498565450,1608
1498565461,2992
1498565471,4390
1498565481,5789
1498565491,7199
1498565501,8618
1498565511,10013
1498565522,11416
1498565532,12850
1498565542,14291
1498565552,15729
1498565562,17164
1498565573,18600
1498565583,20012
1498565593,20012
1498565603,20012
1498565613,20012
1498565624,20012
1498565634,20012
1498565644,20012
1498565654,20012
1498565664,20012
1498565675,21615
1498565685,24410
1498565695,27226
1498565705,30053
1498565715,32884
1498565726,35714
1498565736,38540
1498565746,41363
1498565756,44180
1498565767,47009
1498565777,49823
1498565787,52645
1498565797,55478
1498565807,58269
