t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1498468450,5370,624.776951,357.000000,357.000000,357.000000,events/second
1498468460,15313,823.536835,455.023985,377.935252,364.056220,events/second
1498468470,25275,883.866806,538.043616,398.188672,371.035715,events/second
1498468480,35222,912.598092,608.144242,417.744448,377.926941,events/second
1498468490,45190,929.923746,667.810634,436.725552,384.764219,events/second
1498468500,55145,941.105894,717.908416,455.001356,391.498204,events/second
1498468510,65117,949.298398,760.748960,472.769966,398.188739,events/second
1498468520,75077,955.247346,797.143184,489.982608,404.814222,events/second
1498468530,85035,959.811637,827.584343,506.552379,411.339989,events/second
1498468540,94995,963.493004,853.492960,522.611166,417.804638,events/second
1498468550,104928,966.236112,875.056965,538.064857,424.171342,events/second
1498468560,114886,968.730425,893.588744,553.068386,430.486563,events/second
1498468570,124844,970.832770,909.291547,567.583347,436.733112,events/second
1498468580,134805,972.658242,922.354693,581.575952,442.895101,events/second
1498468590,144778,974.316060,933.878724,595.211045,449.023211,events/second
1498468600,154720,975.561427,943.412918,608.350361,455.067080,events/second
1498468610,164665,976.691337,951.154649,620.987176,461.019899,events/second
1498468620,174618,977.736254,957.979101,633.268500,466.926807,events/second
1498468630,184579,978.710464,963.583160,645.108345,472.755242,events/second
1498468640,194543,979.598192,968.772106,656.657730,478.552350,events/second
1498468650,204505,980.393575,972.981511,667.789195,484.272149,events/second
1498468660,214467,981.119418,976.404610,678.526140,489.918793,events/second
1498468670,224436,981.810199,979.711577,688.996761,495.531821,events/second
1498468680,234401,982.425777,982.224303,699.064666,501.062889,events/second
1498468690,244373,983.019035,984.396696,708.812259,506.536147,events/second
1498468700,254328,983.501325,986.052644,718.201057,511.935680,events/second
1498468710,264289,983.971327,987.685938,727.333906,517.293162,events/second
1498468720,274239,984.365109,989.021148,736.154833,522.587094,events/second
1498468730,284213,984.816821,990.168649,744.689935,527.823644,events/second
1498468740,294166,985.168115,991.211624,752.958774,533.006801,events/second
1498468750,300000,972.148051,982.163351,758.901033,537.443565,events/second
