t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1498554910,0,0.000000,0.000000,0.000000,0.000000,events/second
1498554920,999,58.507842,12.393329,2.624870,0.883475,events/second
1498554930,1998,73.796091,25.781147,5.804093,1.974254,events/second
1498554940,2997,80.837082,37.160384,8.888951,3.056298,events/second
1498554951,3996,84.886625,46.790144,11.872566,4.126374,events/second
1498554961,4996,87.534664,54.908299,14.751701,5.182404,events/second
1498554971,5996,89.393093,61.888271,17.559422,6.234503,events/second
1498554981,6998,90.795155,67.771100,20.268757,7.272791,events/second
1498554991,7999,91.863751,72.781511,22.895826,8.301817,events/second
1498555002,9007,92.784409,76.929343,25.417045,9.312836,events/second
1498555012,10010,93.486285,80.531239,27.875224,10.319308,events/second
1498555022,11008,94.025585,83.504058,30.236450,11.309137,events/second
1498555032,12013,94.535086,86.127319,32.543187,12.295760,events/second
1498555043,13013,94.933754,88.244874,34.751542,13.263768,events/second
1498555053,14019,95.319016,90.045665,36.890477,14.222151,events/second
1498555063,15023,95.642507,91.665948,38.979124,15.176593,events/second
1498555073,16024,95.909312,93.034931,40.999187,16.120476,events/second
1498555083,17029,96.168550,94.149613,42.943272,17.050624,events/second
1498555094,18043,96.448205,95.066302,44.817229,17.968302,events/second
1498555104,19047,96.648734,95.991946,46.662370,18.886872,events/second
1498555114,20047,96.810552,96.667384,48.424045,19.787554,events/second
1498555124,21047,96.957483,97.257679,50.131379,20.679405,events/second
1498555134,22052,97.113491,97.724091,51.776075,21.559178,events/second
1498555145,23054,97.243669,98.116344,53.366742,22.429218,events/second
1498555155,24060,97.379533,98.449657,54.905315,23.289651,events/second
1498555165,25061,97.485335,98.669115,56.380280,24.136150,events/second
1498555175,26063,97.586988,98.998802,57.836641,24.983268,events/second
1498555186,27065,97.681292,99.199199,59.228783,25.815492,events/second
1498555196,28071,97.782972,99.275442,60.555560,26.631884,events/second
1498555206,29073,97.864317,99.538914,61.881431,27.453616,events/second
1498555216,30072,97.930630,99.564283,63.121299,28.251914,events/second
1498555226,31078,98.014821,99.725842,64.350106,29.051344,events/second
1498555237,32082,98.087741,99.829337,65.531962,29.839719,events/second
1498555247,33087,98.159305,99.978352,66.688186,30.623802,events/second
1498555257,34091,98.223867,100.000224,67.783692,31.391503,events/second
1498555267,35094,98.281998,100.032171,68.846480,32.151816,events/second
1498555277,36106,98.361495,100.088640,69.880927,32.905932,events/second
1498555288,37108,98.410244,100.132604,70.881298,33.651697,events/second
1498555298,38110,98.456499,100.217791,71.858789,34.392545,events/second
1498555308,39115,98.507943,100.263033,72.797842,35.123016,events/second
1498555318,40119,98.554422,100.236087,73.692831,35.840977,events/second
1498555328,41118,98.586698,100.246538,74.565145,36.553227,events/second
1498555339,42122,98.629158,100.298244,75.418560,37.260907,events/second
1498555349,43126,98.669669,100.331135,76.240909,37.959683,events/second
1498555359,44132,98.712851,100.295012,77.023076,38.646307,events/second
1498555369,45135,98.747566,100.328399,77.792823,39.329775,events/second
1498555380,46139,98.782937,100.296532,78.524276,40.001278,events/second
1498555390,47141,98.812656,100.329686,79.244808,40.669774,events/second
1498555400,48150,98.855495,100.387175,79.948220,41.333088,events/second
1498555410,49150,98.878526,100.434560,80.628517,41.989066,events/second
1498555421,50000,98.604835,100.226485,81.233947,42.620104,events/second
