t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1498562746,1322,132.192953,130.183787,129.879337,129.826593,events/second
1498562756,2649,132.446623,130.573268,129.971946,129.858358,events/second
1498562766,3988,132.929942,131.083343,130.100696,129.903014,events/second
1498562776,5349,133.720526,131.854131,130.297403,129.971491,events/second
1498562786,6705,134.099071,132.424076,130.471025,130.033659,events/second
1498562796,8057,134.283393,132.757964,130.572328,130.070038,events/second
1498562806,9400,134.284346,133.062024,130.745999,130.137198,events/second
1498562816,10708,133.849753,132.701977,130.747223,130.144460,events/second
1498562826,12064,134.044148,133.146876,130.906316,130.204742,events/second
1498562836,13430,134.298284,133.679551,131.093086,130.275419,events/second
1498562846,14793,134.480105,134.072879,131.260784,130.340914,events/second
1498562856,16139,134.490880,134.165957,131.373398,130.389065,events/second
1498562866,17504,134.644642,134.518522,131.541222,130.456561,events/second
1498562876,18669,133.349148,131.641104,131.040736,130.300781,events/second
1498562886,19997,133.313246,131.815828,131.100898,130.329412,events/second
