t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1498554315,644,64.382873,63.391893,63.239669,63.213296,events/second
1498554325,1301,65.045710,63.745591,63.320300,63.240770,events/second
1498554335,1957,65.232342,64.028998,63.394983,63.266833,events/second
1498554345,2616,65.399703,64.315592,63.477080,63.295925,events/second
1498554355,3277,65.539395,64.590170,63.563097,63.326912,events/second
1498554365,3938,65.632396,64.817482,63.646075,63.357532,events/second
1498554375,4603,65.756455,65.075140,63.739611,63.392252,events/second
1498554385,5264,65.799326,65.233114,63.817021,63.422175,events/second
1498554395,5928,65.866114,65.412252,63.901701,63.455079,events/second
1498554405,6590,65.899729,65.533186,63.977048,63.485409,events/second
1498554415,7260,65.999738,65.760926,64.076262,63.524256,events/second
1498554425,7940,66.166322,66.104665,64.204897,63.573711,events/second
1498554435,8627,66.361331,66.501178,64.352182,63.630346,events/second
1498554445,9315,66.534012,66.854089,64.497999,63.687468,events/second
1498554455,9988,66.586461,66.921905,64.589832,63.727382,events/second
