t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1498648057,0,0.000000,0.000000,0.000000,0.000000,events/second
1498648067,90,5.248874,0.959467,0.198343,0.066482,events/second
1498648077,262,9.651247,3.321551,0.726518,0.245890,events/second
1498648087,439,11.818075,5.542979,1.286199,0.439850,events/second
1498648096,617,13.086906,7.440647,1.830891,0.632781,events/second
1498648106,797,13.946629,9.048267,2.357781,0.823586,events/second
1498648116,976,14.535418,10.439791,2.873955,1.014493,events/second
1498648126,1155,14.971541,11.552448,3.359928,1.198852,events/second
1498648135,1334,15.307570,12.498127,3.830134,1.381192,events/second
1498648145,1507,15.512674,13.246819,4.274843,1.558175,events/second
1498648155,1688,15.754138,13.975240,4.724752,1.739845,events/second
1498648165,1866,15.928801,14.575845,5.156606,1.918399,events/second
1498648175,2047,16.099547,15.114949,5.580859,2.097190,events/second
1498648184,2227,16.238137,15.556579,5.987953,2.272904,events/second
1498648194,2406,16.351060,15.899706,6.375143,2.444466,events/second
1498648204,2586,16.455980,16.238131,6.759557,2.617457,events/second
1498648214,2766,16.548359,16.493897,7.124811,2.786326,events/second
1498648223,2944,16.619025,16.739824,7.484593,2.955533,events/second
1498648233,3123,16.687478,16.902581,7.822773,3.119559,events/second
1498648243,3302,16.748973,17.072333,8.156477,3.283988,events/second
1498648253,3482,16.809375,17.198756,8.475880,3.445486,events/second
1498648262,3664,16.873422,17.336474,8.791369,3.607410,events/second
1498648272,3840,16.905296,17.391643,9.083401,3.763124,events/second
1498648282,4020,16.951556,17.455611,9.369220,3.918233,events/second
1498648292,4200,16.993960,17.555176,9.655476,4.074939,events/second
1498648301,4380,17.033104,17.638177,9.932293,4.229907,events/second
1498648311,4561,17.073047,17.680290,10.193588,4.380965,events/second
1498648321,4740,17.102883,17.745362,10.452818,4.532559,events/second
1498648331,4921,17.137599,17.784454,10.700244,4.681369,events/second
1498648341,5000,16.826714,16.827373,10.734659,4.759842,events/second
1498648350,5272,17.164459,17.428871,11.045926,4.929821,events/second
1498648360,5575,17.578647,19.695879,11.742035,5.232174,events/second
1498648370,5910,18.065208,21.497142,12.384068,5.520309,events/second
1498648380,6097,18.084133,22.128319,12.827883,5.746313,events/second
1498648389,6368,18.343855,21.775941,13.040939,5.895437,events/second
1498648399,6600,18.479333,22.888189,13.572144,6.153843,events/second
1498648409,6937,18.894374,23.798930,14.063641,6.400996,events/second
1498648419,7282,19.308153,25.586299,14.763403,6.721454,events/second
1498648429,7506,19.388023,24.970458,14.976878,6.881712,events/second
1498648438,7862,19.796235,26.491628,15.629899,7.191288,events/second
1498648448,8216,20.179290,27.935346,16.294405,7.508505,events/second
1498648458,8573,20.551544,29.113289,16.927372,7.818912,events/second
1498648468,8932,20.910863,30.141100,17.546145,8.128098,events/second
1498648477,9292,21.256051,31.025835,18.147884,8.434970,events/second
1498648487,9650,21.581295,31.772191,18.729785,8.738438,events/second
1498648497,10007,21.890152,32.421237,19.295970,9.039668,events/second
1498648507,10367,22.192194,32.974478,19.843757,9.337588,events/second
1498648516,10727,22.481575,33.362831,20.357057,9.626675,events/second
1498648526,11085,22.754968,33.798388,20.876451,9.920300,events/second
1498648536,11449,23.029439,34.122942,21.369063,10.207375,events/second
1498648546,11803,23.273364,34.411105,21.848722,10.492373,events/second
1498648555,12162,23.517527,34.594900,22.299598,10.769809,events/second
1498648565,12522,23.754158,34.808052,22.748641,11.048580,events/second
1498648575,12881,23.980348,34.962891,23.176625,11.322086,events/second
1498648585,13238,24.194632,35.138097,23.600331,11.595876,events/second
1498648595,13596,24.402926,35.224999,23.997032,11.862220,events/second
1498648604,13959,24.612660,35.330542,24.387340,12.127837,events/second
1498648614,14316,24.804811,35.433316,24.768048,12.391615,events/second
1498648624,14671,24.986958,35.460184,25.123216,12.648065,events/second
1498648634,14996,25.112773,35.495082,25.469883,12.902771,events/second
1498648643,15133,24.924792,31.217161,24.886852,12.845230,events/second
1498648653,15668,25.387824,34.420492,25.776273,13.277936,events/second
1498648663,16193,25.820132,37.314367,26.678417,13.720143,events/second
1498648673,16723,26.246721,39.788920,27.554673,14.158615,events/second
1498648682,17257,26.666309,41.788916,28.382423,14.585599,events/second
1498648692,17784,27.062469,43.490195,29.186013,15.008937,events/second
1498648702,18314,27.451258,44.889995,29.953670,15.424310,events/second
1498648712,18854,27.843322,46.241853,30.732140,15.847238,events/second
1498648722,19387,28.213796,47.390011,31.485252,16.265512,events/second
1498648731,19925,28.580808,48.312654,32.203703,16.675833,events/second
1498648741,20461,28.934613,49.184487,32.918216,17.088245,events/second
1498648751,20984,29.260426,49.567468,33.533820,17.470676,events/second
1498648761,21242,29.212829,46.335162,33.374119,17.594617,events/second
1498648770,21768,29.530099,46.978368,33.933113,17.957196,events/second
1498648780,22296,29.841552,47.822843,34.541672,18.338865,events/second
1498648790,22832,30.155344,48.684153,35.160140,18.726302,events/second
1498648800,23365,30.457034,49.405564,35.758004,19.109420,events/second
1498648809,23906,30.761261,50.112173,36.356103,19.494954,events/second
1498648819,24442,31.051412,50.645061,36.921316,19.871789,events/second
1498648829,24975,31.330518,51.108296,37.471140,20.245550,events/second
1498648839,25517,31.613857,51.493375,38.000017,20.614116,events/second
1498648849,26044,31.871899,51.760488,38.498550,20.974202,events/second
