t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1498766531,0,0.000000,0.000000,0.000000,0.000000,events/second
1498766541,0,0.000000,0.000000,0.000000,0.000000,events/second
1498766552,178,6.552415,2.075675,0.437474,0.147122,events/second
1498766562,374,10.063118,4.753824,1.062554,0.360980,events/second
1498766572,569,12.063909,7.077121,1.680037,0.576869,events/second
1498766583,765,13.382198,9.015603,2.270829,0.788175,events/second
1498766593,963,14.337724,10.655214,2.842198,0.997140,events/second
1498766604,1162,15.058554,12.072540,3.401337,1.206000,events/second
1498766614,1361,15.613985,13.258846,3.938950,1.411457,events/second
1498766624,1559,16.044794,14.263033,4.458937,1.614643,events/second
1498766635,1757,16.395218,15.114337,4.961931,1.815590,events/second
1498766645,1950,16.643137,15.753716,5.431852,2.008771,events/second
1498766656,2150,16.907105,16.405598,5.909453,2.207567,events/second
1498766666,2348,17.118016,16.911989,6.361588,2.400855,events/second
1498766676,2545,17.293462,17.354073,6.802097,2.593102,events/second
1498766687,2742,17.446582,17.729567,7.228219,2.783232,events/second
1498766697,2941,17.593336,18.060850,7.643568,2.972356,events/second
1498766707,3138,17.712256,18.297138,8.035546,3.156085,events/second
1498766718,3336,17.823795,18.509306,8.417816,3.338874,events/second
1498766728,3531,17.908816,18.676748,8.784411,3.518553,events/second
1498766739,3728,17.995281,18.849188,9.145545,3.698457,events/second
1498766749,3928,18.087589,19.040571,9.504648,3.879684,events/second
1498766759,4127,18.167373,19.173148,9.845475,4.056705,events/second
1498766770,4326,18.240429,19.254669,10.168572,4.229561,events/second
1498766780,4523,18.299483,19.323675,10.481077,4.400506,events/second
1498766791,4720,18.353942,19.364817,10.779976,4.568449,events/second
1498766801,4914,18.393100,19.386209,11.065880,4.733439,events/second
1498766811,5000,18.039766,18.347625,11.124179,4.823471,events/second
1498766822,5100,17.759797,16.490397,10.957828,4.836655,events/second
1498766832,5294,17.814991,16.890379,11.224733,4.994257,events/second
1498766842,5490,17.873100,17.353050,11.509169,5.158963,events/second
1498766853,5685,17.924396,17.636591,11.761304,5.314111,events/second
1498766863,5882,17.978668,17.984705,12.028150,5.475282,events/second
1498766874,6081,18.035657,18.264664,12.282996,5.633571,events/second
1498766884,6281,18.092241,18.500366,12.529433,5.790104,events/second
1498766894,6480,18.142855,18.715875,12.771096,5.946016,events/second
1498766905,6678,18.187988,18.867595,12.998280,6.097995,events/second
1498766915,6876,18.230725,19.026728,13.224572,6.250505,events/second
1498766926,7069,18.258345,19.132005,13.436944,6.399126,events/second
1498766936,7265,18.292125,19.154599,13.629021,6.541660,events/second
1498766946,7463,18.329159,19.238967,13.828079,6.687058,events/second
1498766957,7656,18.352429,19.278401,14.013999,6.828633,events/second
1498766967,7853,18.383978,19.374467,14.206993,6.973070,events/second
1498766977,8052,18.418656,19.393100,14.380491,7.111484,events/second
1498766988,8249,18.447309,19.443411,14.555022,7.250598,events/second
1498766998,8446,18.474708,19.495597,14.726863,7.389251,events/second
1498767009,8644,18.503081,19.511624,14.886624,7.524175,events/second
1498767019,8842,18.530260,19.555895,15.047703,7.659819,events/second
1498767030,9040,18.556323,19.622795,15.210004,7.796167,events/second
1498767040,9237,18.579327,19.600747,15.350511,7.925474,events/second
1498767050,9430,18.593538,19.600633,15.489825,8.054473,events/second
1498767061,9623,18.607200,19.588380,15.621431,8.180957,events/second
1498767071,9820,18.627926,19.511487,15.735390,8.301599,events/second
1498767081,9998,18.612515,19.521240,15.861923,8.426424,events/second
1498767092,10020,18.312560,16.965749,15.439440,8.366372,events/second
1498767102,10213,18.330281,16.990186,15.491421,8.461862,events/second
1498767113,10411,18.356196,17.452247,15.639229,8.589354,events/second
1498767123,10609,18.381211,17.828661,15.778941,8.714335,events/second
1498767134,10805,18.401969,18.069890,15.897654,8.832408,events/second
1498767144,10999,18.418680,18.306069,16.019086,8.951391,events/second
1498767154,11196,18.439786,18.438189,16.123150,9.064610,events/second
1498767165,11390,18.455343,18.631261,16.240386,9.182124,events/second
1498767175,11582,18.467216,18.673157,16.327606,9.289506,events/second
1498767185,11773,18.477147,18.818001,16.434997,9.403445,events/second
1498767196,11965,18.488316,18.860654,16.522339,9.510585,events/second
1498767206,12164,18.509798,18.972878,16.623182,9.622063,events/second
1498767217,12355,18.518644,19.070432,16.720828,9.732321,events/second
1498767227,12550,18.533136,19.108871,16.805520,9.838056,events/second
1498767237,12740,18.539929,19.110706,16.880879,9.940412,events/second
1498767247,12930,18.546530,19.080276,16.947155,10.039421,events/second
1498767257,13121,18.554357,19.081386,17.017652,10.139528,events/second
1498767267,13314,18.564753,19.098317,17.089143,10.239636,events/second
1498767277,13503,18.569362,19.051241,17.145177,10.334219,events/second
1498767287,13696,18.579275,19.087513,17.215739,10.433278,events/second
1498767297,13886,18.584906,19.090069,17.277539,10.529045,events/second
1498767307,14076,18.590387,19.106945,17.340565,10.624856,events/second
1498767317,14264,18.593120,19.090527,17.394968,10.717398,events/second
1498767327,14448,18.590636,19.017780,17.434583,10.804510,events/second
1498767337,14634,18.590754,18.892235,17.459676,10.886227,events/second
1498767347,14815,18.584598,18.833938,17.493864,10.970366,events/second
1498767357,15000,18.583550,18.779476,17.526712,11.053550,events/second
1498767367,15000,18.356135,16.426135,17.069157,10.971080,events/second
1498767377,15173,18.343368,15.948116,16.940426,10.994761,events/second
1498767387,15365,18.353600,16.411522,17.007728,11.083191,events/second
1498767397,15554,18.360049,16.821056,17.076184,11.171758,events/second
1498767407,15748,18.372182,17.215692,17.152313,11.262671,events/second
1498767417,15938,18.379421,17.522877,17.219554,11.350388,events/second
1498767427,16127,18.385354,17.737487,17.274782,11.433823,events/second
1498767437,16320,18.395666,17.947297,17.334647,11.518535,events/second
1498767447,16511,18.403517,18.139610,17.395801,11.603412,events/second
1498767457,16702,18.411194,18.253147,17.444978,11.684021,events/second
1498767467,16894,18.419792,18.397228,17.502459,11.767063,events/second
1498767477,17084,18.426053,18.521746,17.558166,11.849201,events/second
1498767487,17276,18.434310,18.596446,17.605490,11.928220,events/second
1498767497,17459,18.432894,18.691659,17.657873,12.008583,events/second
1498767507,17645,18.434639,18.546454,17.659555,12.071505,events/second
1498767517,17830,18.435314,18.566830,17.693528,12.144732,events/second
1498767527,18014,18.434954,18.525227,17.713383,12.212742,events/second
1498767537,18197,18.433585,18.500888,17.735675,12.281084,events/second
1498767547,18380,18.432247,18.498834,17.760650,12.349791,events/second
1498767557,18565,18.432919,18.498374,17.784862,12.417746,events/second
1498767567,18750,18.433579,18.529966,17.814891,12.487165,events/second
1498767577,18939,18.438119,18.548389,17.840958,12.554747,events/second
1498767587,19122,18.436788,18.498741,17.852892,12.617143,events/second
1498767597,19306,18.436436,18.516843,17.877495,12.683263,events/second
1498767607,19489,18.435146,18.466923,17.888013,12.744215,events/second
1498767617,19674,18.435753,18.470083,17.907994,12.807805,events/second
1498767627,19858,18.435422,18.536723,17.940544,12.875124,events/second
1498767637,20000,18.396463,18.392919,17.929379,12.927332,events/second
1498767647,20038,18.263425,15.583982,17.344835,12.785592,events/second
1498767657,20227,18.269174,16.034841,17.382843,12.848750,events/second
1498767667,20417,18.275717,16.474056,17.432554,12.915611,events/second
1498767677,20603,18.278594,16.827295,17.477220,12.980612,events/second
1498767687,20792,18.284058,17.164681,17.527307,13.047143,events/second
1498767697,20982,18.290299,17.448993,17.575697,13.112932,events/second
1498767707,21175,18.299025,17.719083,17.629002,13.180198,events/second
1498767717,21366,18.305888,17.931718,17.677255,13.245612,events/second
1498767727,21558,18.313483,18.095719,17.720619,13.309196,events/second
1498767737,21748,18.319265,18.265246,17.769119,13.374287,events/second
1498767747,21939,18.325787,18.379323,17.809527,13.436455,events/second
1498767757,22124,18.327231,18.426635,17.838638,13.494606,events/second
1498767767,22305,18.325363,18.373294,17.847070,13.545478,events/second
1498767777,22491,18.327601,18.452235,17.881507,13.604635,events/second
1498767787,22677,18.329804,18.416070,17.892058,13.655424,events/second
1498767797,22858,18.327960,18.369465,17.898957,13.704544,events/second
1498767807,23038,18.325351,18.355604,17.911968,13.755307,events/second
1498767817,23222,18.325941,18.366256,17.928132,13.806647,events/second
1498767827,23408,18.328087,18.340732,17.937045,13.855192,events/second
1498767837,23587,18.324760,18.315292,17.945501,13.903182,events/second
1498767847,23773,18.326883,18.353885,17.966740,13.955055,events/second
1498767857,23961,18.330502,18.412774,17.991025,14.007513,events/second
1498767867,24143,18.329512,18.365397,17.994625,14.052736,events/second
1498767877,24327,18.330043,18.338727,18.001303,14.098556,events/second
1498767887,24512,18.331314,18.413376,18.027651,14.150523,events/second
1498767897,24696,18.331824,18.395332,18.036553,14.196370,events/second
1498767907,24876,18.329378,18.349354,18.038605,14.239501,events/second
1498767917,25000,18.286009,18.032192,17.984121,14.263288,events/second
1498767927,25050,18.189535,15.423832,17.427588,14.116764,events/second
1498767937,25240,18.195378,15.961963,17.476051,14.169639,events/second
1498767947,25430,18.201137,16.414923,17.522815,14.221916,events/second
1498767957,25622,18.208235,16.857196,17.581051,14.278024,events/second
