t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1498648056,0,0.000000,0.000000,0.000000,0.000000,events/second
1498648066,70,4.034452,0.479734,0.099171,0.033241,events/second
1498648076,234,8.555595,2.909073,0.630325,0.212985,events/second
1498648086,417,11.164559,5.241797,1.203076,0.410633,events/second
1498648096,603,12.734877,7.291247,1.773361,0.611612,events/second
1498648106,784,13.670353,8.979374,2.315086,0.807053,events/second
1498648116,967,14.357769,10.378917,2.832550,0.998130,events/second
1498648126,1154,14.919153,11.610300,3.342912,1.190414,events/second
1498648136,1338,15.317654,12.651364,3.836487,1.380567,events/second
1498648146,1522,15.634268,13.565867,4.320547,1.570841,events/second
1498648156,1706,15.891899,14.321429,4.785323,1.757893,events/second
1498648166,1893,16.131124,14.996816,5.241637,1.945112,events/second
1498648176,2077,16.309356,15.537815,5.676435,2.128052,events/second
1498648186,2263,16.476135,15.962500,6.090312,2.306749,events/second
1498648196,2448,16.613486,16.382117,6.503679,2.487885,events/second
1498648206,2632,16.727017,16.690621,6.893632,2.663701,events/second
1498648216,2817,16.832953,16.985024,7.277467,2.839797,events/second
1498648226,3000,16.915662,17.202249,7.642107,3.011732,events/second
1498648236,3187,17.010931,17.387404,7.994848,3.181772,events/second
1498648246,3371,17.081281,17.558847,8.339275,3.351036,events/second
1498648256,3558,17.159379,17.702692,8.672356,3.518423,events/second
1498648266,3741,17.211856,17.825733,8.994571,3.683966,events/second
1498648276,3928,17.277310,17.928606,9.306169,3.847675,events/second
1498648286,4112,17.324603,18.030398,9.610802,4.010676,events/second
1498648296,4297,17.372132,18.101851,9.902198,4.170774,events/second
1498648306,4483,17.419839,18.148901,10.180843,4.328008,events/second
1498648316,4665,17.449029,18.202162,10.453551,4.484600,events/second
1498648326,4852,17.494127,18.249804,10.717426,4.639474,events/second
1498648336,5000,17.400358,18.271583,10.969237,4.791516,events/second
1498648346,5059,17.013610,15.904084,10.701745,4.769547,events/second
1498648356,5240,17.048955,16.230959,10.941229,4.915763,events/second
1498648366,5396,17.003300,16.183348,11.103933,5.037150,events/second
1498648376,5562,16.990975,16.391231,11.313867,5.174888,events/second
1498648386,5634,16.700746,14.766562,11.133156,5.181801,events/second
1498648396,5812,16.732381,15.310927,11.368195,5.326761,events/second
1498648406,5942,16.627944,14.848038,11.393470,5.401747,events/second
1498648416,6126,16.676181,15.421476,11.629619,5.547570,events/second
1498648426,6242,16.541662,14.857859,11.640122,5.618683,events/second
1498648436,6424,16.584475,15.356226,11.851930,5.756600,events/second
1498648446,6612,16.640236,15.826058,12.066710,5.896317,events/second
1498648456,6797,16.685887,16.298604,12.290759,6.040005,events/second
1498648466,6982,16.729351,16.607773,12.487848,6.175483,events/second
1498648476,7168,16.773010,16.868200,12.678420,6.309457,events/second
1498648486,7354,16.814900,17.131506,12.872443,6.445250,events/second
1498648496,7539,16.852571,17.342234,13.056964,6.578454,events/second
1498648506,7721,16.882034,17.535324,13.238686,6.711287,events/second
1498648516,7909,16.923069,17.669346,13.407949,6.840449,events/second
1498648526,8091,16.949822,17.809661,13.578055,6.970375,events/second
1498648536,8277,16.983677,17.884298,13.732832,7.095560,events/second
1498648546,8463,17.016180,18.023596,13.898899,7.224883,events/second
1498648556,8650,17.049371,18.081381,14.046462,7.348364,events/second
1498648566,8835,17.077407,18.208972,14.205662,7.476014,events/second
1498648576,9020,17.104379,18.255568,14.346529,7.597834,events/second
1498648586,9206,17.132218,18.245759,14.472806,7.714978,events/second
1498648596,9390,17.155380,18.332123,14.614723,7.837469,events/second
1498648606,9575,17.179504,18.310562,14.732208,7.951965,events/second
1498648616,9759,17.201018,18.386978,14.865621,8.071838,events/second
1498648626,9945,17.225247,18.358273,14.974935,8.183750,events/second
1498648636,10000,17.025614,17.022704,14.809597,8.203567,events/second
1498648646,10090,16.891262,15.208964,14.489366,8.168323,events/second
1498648656,10277,16.921046,15.669421,14.611070,8.279175,events/second
1498648666,10462,16.946620,16.118040,14.741788,8.393210,events/second
1498648676,10646,16.969786,16.467084,14.861663,8.503775,events/second
1498648686,10832,16.995368,16.794525,14.984221,8.615334,events/second
1498648696,11017,17.018609,17.056986,15.099509,8.724559,events/second
1498648706,11202,17.041146,17.292588,15.214214,8.833673,events/second
1498648716,11387,17.063004,17.493300,15.325213,8.941587,events/second
1498648726,11573,17.085698,17.632495,15.426017,9.046099,events/second
1498648736,11760,17.109185,17.795737,15.533323,9.152767,events/second
1498648746,11943,17.126261,17.904494,15.630610,9.256054,events/second
1498648756,12092,17.094786,17.455413,15.612422,9.320538,events/second
1498648766,12222,17.037703,16.723435,15.511614,9.355808,events/second
1498648776,12403,17.052309,16.966106,15.603056,9.454641,events/second
1498648786,12590,17.074657,17.199669,15.697947,9.554579,events/second
1498648796,12775,17.093730,17.396097,15.789673,9.653407,events/second
1498648806,12959,17.110974,17.627613,15.891669,9.755582,events/second
1498648816,13145,17.130380,17.716763,15.967399,9.848895,events/second
1498648826,13330,17.148000,17.804383,16.043789,9.942268,events/second
1498648836,13514,17.163901,17.926525,16.127592,10.037932,events/second
1498648846,13694,17.174385,17.997933,16.202035,10.130324,events/second
1498648856,13881,17.193286,18.044945,16.270842,10.220598,events/second
1498648866,14067,17.210496,18.143590,16.350398,10.314283,events/second
1498648876,14255,17.229708,18.166963,16.414286,10.402519,events/second
1498648886,14437,17.241294,18.265424,16.492553,10.495314,events/second
1498648896,14621,17.254969,18.270093,16.551781,10.581550,events/second
1498648906,14806,17.269476,18.304748,16.615624,10.669043,events/second
1498648916,14988,17.280220,18.334084,16.677374,10.755569,events/second
1498648926,15000,17.096937,16.284519,16.299680,10.694022,events/second
1498648936,15145,17.067671,15.386865,16.098643,10.687707,events/second
1498648946,15257,17.002280,15.404242,16.081640,10.741912,events/second
1498648956,15327,16.892046,13.679054,15.686650,10.667540,events/second
1498648966,15512,16.909575,14.211264,15.733285,10.738650,events/second
1498648976,15696,16.925647,14.855590,15.820765,10.823311,events/second
1498648986,15879,16.940309,15.429147,15.911825,10.909234,events/second
1498648996,16066,16.958883,15.870515,15.990146,10.990902,events/second
1498649006,16251,16.974981,16.272271,16.072347,11.073865,events/second
1498649016,16434,16.988678,16.629620,16.155213,11.157026,events/second
