t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1498821828,0,0.000000,0.000000,0.000000,0.000000,events/second
1498821839,0,0.000000,0.000000,0.000000,0.000000,events/second
1498821849,49,0.015045,0.159911,0.033057,0.011080,events/second
1498821859,242,0.074076,3.157754,0.677734,0.228626,events/second
1498821869,439,0.133968,5.635245,1.288217,0.439354,events/second
1498821879,633,0.192583,7.761820,1.885189,0.649958,events/second
1498821889,825,0.250235,9.563206,2.462644,0.858240,events/second
1498821899,1021,0.308749,11.057342,3.014610,1.062011,events/second
1498821909,1212,0.365402,12.322102,3.548482,1.263531,events/second
1498821919,1408,0.423218,13.423401,4.071407,1.465034,events/second
1498821929,1602,0.480087,14.339640,4.573884,1.663202,events/second
1498821939,1797,0.536916,15.116497,5.059942,1.859187,events/second
1498821949,1990,0.592810,15.790084,5.533370,2.054114,events/second
1498821959,2183,0.648372,16.344272,5.987973,2.245779,events/second
1498821969,2380,0.704790,16.829374,6.430977,2.436435,events/second
1498821979,2575,0.760284,17.238724,6.859403,2.624977,events/second
1498821989,2770,0.815451,17.569241,7.270478,2.810329,events/second
1498821999,2962,0.869414,17.815757,7.661410,2.991410,events/second
1498822009,3154,0.923060,18.105662,8.056110,3.176036,events/second
1498822019,3351,0.977853,18.260229,8.418253,3.351999,events/second
1498822029,3543,1.030873,18.421770,8.775081,3.528228,events/second
1498822039,3736,1.083874,18.570668,9.123353,3.703598,events/second
1498822049,3930,1.136859,18.699264,9.460316,3.877044,events/second
1498822059,4121,1.188672,18.776136,9.779621,4.046356,events/second
1498822069,4318,1.241913,18.887902,10.098320,4.217116,events/second
1498822079,4512,1.293988,18.979952,10.406462,4.385977,events/second
1498822089,4707,1.346052,19.044437,10.701305,4.551876,events/second
1498822099,4902,1.397818,19.096465,10.986373,4.715930,events/second
1498822109,5000,1.421709,18.229013,11.073670,4.815013,events/second
1498822119,5260,1.491397,18.404874,11.325494,4.967903,events/second
1498822129,5650,1.597447,21.581315,12.236023,5.345046,events/second
