t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1498976608,0,0.000000,0.000000,0.000000,0.000000,events/second
1498976619,0,0.000000,0.000000,0.000000,0.000000,events/second
1498976629,172,6.424981,2.187613,0.460614,0.154879,events/second
1498976639,369,10.035232,4.828751,1.081466,0.367524,events/second
1498976649,563,12.037509,7.097686,1.688630,0.580041,events/second
1498976660,759,13.369651,9.017020,2.275835,0.790204,events/second
1498976670,955,14.302730,10.610997,2.837232,0.995835,events/second
1498976680,1151,14.992755,11.976261,3.383530,1.200302,events/second
1498976690,1343,15.477620,13.145365,3.915114,1.403606,events/second
1498976701,1541,15.924288,14.109402,4.422933,1.602477,events/second
1498976711,1735,16.249822,14.965743,4.923693,1.802439,events/second
1498976721,1933,16.553851,15.649040,5.398392,1.996897,events/second
1498976731,2126,16.770481,16.286288,5.870533,2.193614,events/second
1498976742,2323,16.984673,16.732317,6.307470,2.381522,events/second
1498976752,2519,17.162865,17.188550,6.746557,2.572888,events/second
1498976762,2714,17.311940,17.574743,7.171249,2.762139,events/second
1498976772,2911,17.455139,17.852396,7.572045,2.945968,events/second
1498976783,3106,17.570818,18.135398,7.969620,3.131091,events/second
1498976793,3302,17.679464,18.376232,8.354215,3.314174,events/second
1498976803,3497,17.771978,18.548112,8.719590,3.493018,events/second
1498976813,3695,17.870065,18.680171,9.069790,3.668790,events/second
1498976824,3888,17.936028,18.834815,9.418208,3.845919,events/second
1498976834,4084,18.009406,18.919024,9.745340,4.017774,events/second
1498976844,4282,18.085030,19.051713,10.074862,4.192149,events/second
1498976854,4477,18.142365,19.182580,10.396996,4.365717,events/second
1498976865,4671,18.191348,19.174377,10.682505,4.528547,events/second
1498976875,4854,18.195423,19.014564,10.928521,4.679562,events/second
1498976885,5000,18.065513,18.881842,11.166581,4.828921,events/second
1498976895,5043,17.585498,16.143045,10.833554,4.786644,events/second
1498976906,5230,17.623055,16.554772,11.094889,4.941504,events/second
1498976916,5411,17.638600,16.820779,11.331018,5.089101,events/second
1498976926,5599,17.675263,17.032514,11.556210,5.233971,events/second
1498976936,5782,17.694381,17.274431,11.787188,5.381667,events/second
1498976947,5965,17.712366,17.415244,11.997370,5.523298,events/second
1498976957,6149,17.732196,17.642542,12.223638,5.671103,events/second
1498976967,6335,17.756519,17.699975,12.413119,5.807344,events/second
1498976977,6520,17.776790,17.839424,12.616004,5.948704,events/second
1498976988,6707,17.801294,18.029749,12.828438,6.094006,events/second
1498976998,6890,17.814190,18.073155,13.007899,6.228886,events/second
1498977008,7077,17.836513,18.124611,13.184728,6.363379,events/second
1498977018,7261,17.850368,18.150897,13.352399,6.495271,events/second
1498977029,7444,17.861152,18.219842,13.524436,6.629023,events/second
1498977039,7631,17.880810,18.263491,13.687582,6.760196,events/second
1498977049,7813,17.888118,18.267178,13.838713,6.887697,events/second
1498977059,7998,17.901807,18.335542,13.998167,7.018228,events/second
1498977070,8181,17.910530,18.284030,14.129362,7.139572,events/second
1498977080,8369,17.929586,18.395223,14.289095,7.270631,events/second
1498977090,8555,17.943647,18.426660,14.430424,7.395816,events/second
1498977100,8740,17.955077,18.407855,14.557311,7.516306,events/second
1498977111,8926,17.968058,18.423919,14.686649,7.637681,events/second
1498977121,9108,17.972636,18.433681,14.811584,7.757696,events/second
1498977131,9295,17.986713,18.415076,14.926030,7.874194,events/second
1498977141,9478,17.992657,18.443465,15.046477,7.992710,events/second
1498977152,9659,17.994660,18.406089,15.149862,8.105496,events/second
1498977162,9847,18.009388,18.406433,15.256469,8.219253,events/second
1498977172,10000,17.960724,18.388175,15.356165,8.330632,events/second
1498977182,10030,17.696762,15.638817,14.868986,8.244091,events/second
1498977193,10210,17.702019,16.008973,14.971960,8.351927,events/second
1498977203,10391,17.708801,16.314632,15.071231,8.458534,events/second
1498977213,10580,17.728763,16.652044,15.183722,8.569498,events/second
1498977223,10762,17.736528,16.932543,15.292306,8.679211,events/second
1498977234,10947,17.748908,17.237780,15.410717,8.792162,events/second
1498977244,11127,17.752914,17.325369,15.489101,8.891701,events/second
1498977254,11314,17.767786,17.508893,15.587947,8.997884,events/second
1498977265,11497,17.776015,17.613712,15.673525,9.099558,events/second
1498977275,11689,17.797696,17.845081,15.785995,9.210074,events/second
1498977285,11874,17.808229,17.973130,15.881391,9.314919,events/second
1498977295,12060,17.819929,18.038662,15.963961,9.415306,events/second
1498977306,12243,17.826920,18.091577,16.043715,9.514571,events/second
1498977316,12425,17.832274,18.122935,16.117657,9.611643,events/second
1498977326,12611,17.843137,18.198730,16.199147,9.710973,events/second
1498977336,12793,17.848116,18.182934,16.261437,9.803666,events/second
1498977346,12976,17.854333,18.214979,16.331493,9.898646,events/second
1498977357,13159,17.860382,18.244662,16.399361,9.992589,events/second
1498977367,13345,17.870286,18.267230,16.464896,10.085481,events/second
1498977377,13541,17.893142,18.474392,16.567786,10.190625,events/second
1498977388,13739,17.918011,18.613933,16.660527,10.292373,events/second
1498977398,13922,17.922929,18.621392,16.727143,10.385246,events/second
1498977408,14107,17.930262,18.554143,16.775320,10.471584,events/second
1498977418,14288,17.932394,18.575896,16.838391,10.562502,events/second
1498977429,14476,17.943148,18.566162,16.892947,10.650217,events/second
1498977439,14660,17.948741,18.571357,16.948911,10.738059,events/second
1498977449,14845,17.955409,18.530338,16.993232,10.821619,events/second
1498977460,15000,17.926064,18.493059,17.035991,10.904243,events/second
1498977470,15020,17.737985,15.727599,16.493741,10.789264,events/second
1498977480,15204,17.745711,15.945320,16.513917,10.859029,events/second
1498977490,15400,17.767105,16.444973,16.601977,10.951194,events/second
1498977501,15582,17.772042,16.819947,16.677233,11.039016,events/second
1498977511,15768,17.781379,17.062514,16.733712,11.120352,events/second
1498977521,15956,17.792738,17.282555,16.791591,11.201891,events/second
1498977532,16139,17.798332,17.518067,16.857543,11.285859,events/second
1498977542,16321,17.802714,17.608044,16.898303,11.361156,events/second
1498977552,16510,17.814553,17.744336,16.950786,11.440035,events/second
1498977562,16697,17.824006,17.857148,17.001438,11.518029,events/second
1498977573,16881,17.830089,18.015327,17.063599,11.599588,events/second
1498977583,17055,17.825593,17.946452,17.080966,11.665865,events/second
1498977593,17245,17.837741,18.035907,17.127678,11.741401,events/second
1498977603,17430,17.844522,18.151931,17.182449,11.819390,events/second
1498977614,17617,17.853192,18.207284,17.225725,11.893217,events/second
1498977624,17799,17.856668,18.236869,17.264223,11.965115,events/second
1498977634,17987,17.866040,18.277904,17.304764,12.037326,events/second
1498977645,18169,17.869325,18.326073,17.347172,12.109835,events/second
1498977655,18354,17.875467,18.320152,17.378327,12.178224,events/second
1498977665,18540,17.882455,18.412366,17.428350,12.252513,events/second
1498977676,18723,17.886444,18.381043,17.453703,12.318236,events/second
1498977686,18910,17.894142,18.399944,17.488032,12.386545,events/second
1498977696,19097,17.901698,18.415944,17.521235,12.454100,events/second
1498977706,19282,17.907254,18.473625,17.563103,12.524213,events/second
1498977717,19466,17.911788,18.491747,17.597042,12.591342,events/second
1498977727,19653,17.918974,18.477662,17.623366,12.655526,events/second
1498977737,19839,17.925128,18.496443,17.655384,12.721210,events/second
1498977748,20000,17.908784,18.527054,17.689603,12.787270,events/second
1498977758,20020,17.767595,15.785800,17.132427,12.653689,events/second
1498977768,20202,17.771398,15.978595,17.128359,12.701745,events/second
1498977778,20387,17.777752,16.350325,17.170048,12.764708,events/second
1498977789,20572,17.783996,16.694413,17.216873,12.829180,events/second
1498977799,20763,17.795276,17.048362,17.275331,12.897365,events/second
1498977809,20946,17.799564,17.270576,17.315453,12.959269,events/second
1498977820,21133,17.807152,17.507928,17.364231,13.023819,events/second
1498977830,21316,17.811270,17.583470,17.385074,13.078804,events/second
1498977840,21506,17.821121,17.755517,17.428210,13.140919,events/second
1498977851,21688,17.824234,17.866612,17.463211,13.200119,events/second
1498977861,21873,17.829743,17.948497,17.493922,13.257576,events/second
1498977871,22057,17.834354,18.045957,17.530075,13.316595,events/second
1498977882,22244,17.841296,18.116301,17.561900,13.373873,events/second
1498977892,22431,17.848130,18.190557,17.595933,13.431620,events/second
1498977902,22628,17.862749,18.438915,17.668245,13.501994,events/second
1498977912,22826,17.877921,18.601171,17.728270,13.568267,events/second
1498977923,23013,17.884309,18.690545,17.776410,13.630483,events/second
1498977933,23198,17.889057,18.647220,17.796908,13.683190,events/second
1498977943,23382,17.892968,18.641249,17.823291,13.737525,events/second
1498977954,23567,17.897578,18.617647,17.845395,13.790139,events/second
1498977964,23752,17.902118,18.585513,17.863631,13.841083,events/second
1498977974,23939,17.908088,18.603728,17.891078,13.894775,events/second
1498977985,24121,17.910255,18.540470,17.901151,13.942340,events/second
1498977995,24309,17.916812,18.568157,17.927477,13.994926,events/second
1498978005,24495,17.921811,18.574324,17.949580,14.045816,events/second
1498978015,24682,17.927463,18.578266,17.970903,14.096138,events/second
1498978026,24872,17.935198,18.669878,18.011034,14.152515,events/second
1498978036,25000,17.898433,18.248495,17.944612,14.172874,events/second
1498978046,25056,17.811009,15.766840,17.422432,14.038430,events/second
1498978057,25240,17.815167,16.229929,17.467485,14.091031,events/second
1498978067,25424,17.819265,16.563074,17.498056,14.138643,events/second
1498978077,25608,17.823307,16.862346,17.530986,14.186844,events/second
1498978088,25795,17.829367,17.082412,17.556170,14.232290,events/second
1498978098,25980,17.833970,17.360806,17.600199,14.283863,events/second
1498978108,26168,17.840557,17.536332,17.629725,14.330453,events/second
1498978118,26351,17.843668,17.682355,17.658174,14.376515,events/second
1498978129,26547,17.855481,17.901907,17.705525,14.428717,events/second
1498978139,26731,17.859118,18.022511,17.738045,14.475904,events/second
1498978149,26911,17.860054,18.079184,17.759692,14.519258,events/second
1498978160,27100,17.866910,18.113723,17.777433,14.561036,events/second
1498978170,27283,17.869747,18.217800,17.810902,14.607869,events/second
1498978180,27466,17.872547,18.199076,17.820353,14.646453,events/second
1498978190,27651,17.876603,18.264461,17.846076,14.690156,events/second
1498978201,27835,17.879966,18.286548,17.864291,14.731155,events/second
1498978211,28020,17.883923,18.287973,17.878548,14.770586,events/second
1498978221,28204,17.887196,18.351866,17.905505,14.814008,events/second
1498978231,28389,17.891058,18.376525,17.925077,14.854746,events/second
1498978242,28580,17.898629,18.457528,17.957066,14.899447,events/second
1498978252,28763,17.901127,18.481957,17.978253,14.940349,events/second
1498978262,28946,17.903594,18.455941,17.988884,14.977481,events/second
1498978272,29135,17.909719,18.494048,18.012224,15.018617,events/second
1498978283,29319,17.912714,18.448906,18.018380,15.053770,events/second
1498978293,29504,17.916281,18.457389,18.034197,15.091852,events/second
1498978303,29690,17.920407,18.493995,18.055997,15.131718,events/second
1498978313,29860,17.914886,18.303663,18.030912,15.155643,events/second
1498978324,30000,17.891538,18.097134,17.996841,15.175991,events/second
1498978334,30040,17.809181,15.478804,17.439892,15.019383,events/second
1498978344,30225,17.813253,15.897836,17.464866,15.054534,events/second
1498978355,30414,17.819612,16.372796,17.515139,15.098123,events/second
1498978365,30602,17.825331,16.718549,17.550869,15.136836,events/second
1498978375,30785,17.828080,17.006107,17.585209,15.175097,events/second
1498978385,30970,17.831948,17.173400,17.602058,15.207413,events/second
1498978396,31153,17.834628,17.405844,17.637971,15.245995,events/second
1498978406,31341,17.840124,17.543752,17.659702,15.279744,events/second
1498978416,31525,17.843292,17.723175,17.693889,15.317546,events/second
1498978426,31708,17.845863,17.843071,17.720344,15.352713,events/second
1498978437,31892,17.848964,17.899145,17.736124,15.384181,events/second
1498978447,32079,17.853701,18.037443,17.771002,15.421925,events/second
1498978457,32266,17.858385,18.127641,17.798343,15.457059,events/second
1498978467,32455,17.864118,18.245573,17.834433,15.495100,events/second
1498978478,32640,17.867599,18.268002,17.852920,15.527191,events/second
1498978488,32825,17.871042,18.237736,17.860829,15.555598,events/second
1498978498,33007,17.872823,18.304227,17.888149,15.590321,events/second
1498978509,33192,17.876200,18.333642,17.908180,15.622469,events/second
