t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1498979657,0,0.000000,0.000000,0.000000,0.000000,events/second
1498979667,10,0.581707,0.000000,0.000000,0.000000,events/second
1498979677,173,6.362468,2.078881,0.440233,0.148169,events/second
1498979687,336,9.034520,4.295983,0.966871,0.328866,events/second
1498979697,510,10.807208,6.278264,1.499111,0.515291,events/second
1498979707,685,11.977469,8.031070,2.030212,0.705173,events/second
1498979717,861,12.814278,9.485363,2.537400,0.890752,events/second
1498979727,1038,13.447236,10.731108,3.031210,1.075383,events/second
1498979737,1212,13.900554,11.801599,3.512138,1.259081,events/second
1498979747,1388,14.281205,12.650179,3.964349,1.436349,events/second
1498979757,1562,14.572152,13.362094,4.401462,1.611627,events/second
1498979767,1735,14.804927,13.994142,4.830746,1.787172,events/second
1498979777,1911,15.024694,14.546428,5.249318,1.961891,events/second
1498979787,2088,15.219699,14.999216,5.650915,2.133578,events/second
1498979797,2265,15.388212,15.427909,6.049155,2.306680,events/second
1498979807,2442,15.535286,15.792068,6.434394,2.477875,events/second
1498979817,2616,15.646814,16.010769,6.787441,2.640561,events/second
1498979827,2795,15.773974,16.300161,7.151727,2.809169,events/second
1498979837,2971,15.871502,16.513144,7.497459,2.973698,events/second
1498979847,3147,15.959189,16.693430,7.831856,3.136408,events/second
1498979857,3324,16.043202,16.832605,8.152094,3.296225,events/second
1498979867,3501,16.119485,16.982397,8.468444,3.456493,events/second
1498979877,3676,16.180241,17.046506,8.761256,3.610563,events/second
1498979887,3855,16.252742,17.163460,9.057635,3.767357,events/second
1498979897,4029,16.299164,17.198495,9.331076,3.917986,events/second
1498979907,4207,16.357522,17.305549,9.611971,4.072479,events/second
1498979917,4382,16.400267,17.333483,9.870490,4.220838,events/second
1498979927,4561,16.454389,17.419815,10.133701,4.371985,events/second
1498979937,4736,16.490795,17.462189,10.381727,4.519251,events/second
1498979947,4902,16.494360,17.281854,10.575669,4.649415,events/second
1498979957,5000,16.276542,16.720475,10.680228,4.750396,events/second
1498979967,5059,15.949401,14.153577,10.330088,4.697906,events/second
1498979977,5381,16.446071,16.747482,11.008056,4.988571,events/second
1498979987,5710,16.933891,19.179855,11.715870,5.293660,events/second
1498979997,6039,17.393906,21.286787,12.410395,5.598703,events/second
1498980007,6371,17.836418,23.086258,13.085458,5.901482,events/second
1498980017,6698,18.241209,24.621632,13.741530,6.202006,events/second
1498980027,7027,18.629841,25.891874,14.369592,6.497006,events/second
1498980037,7356,18.998400,27.000371,14.983730,6.790967,events/second
1498980047,7684,19.345882,27.891998,15.567872,7.078363,events/second
1498980057,8012,19.676292,28.720308,16.149118,7.368093,events/second
1498980067,8345,20.002853,29.283929,16.681831,7.644680,events/second
1498980077,8676,20.309438,29.854414,17.216804,7.924846,events/second
1498980087,9010,20.608863,30.415996,17.750712,8.207451,events/second
1498980097,9345,20.897135,30.844670,18.257255,8.483615,events/second
1498980107,9670,21.150919,31.220969,18.750387,8.757823,events/second
1498980117,9983,21.368158,31.465936,19.211098,9.023492,events/second
1498980127,10302,21.588845,31.212742,19.558353,9.253077,events/second
1498980137,10628,21.814870,31.457693,19.992520,9.513267,events/second
1498980147,10948,22.019726,31.555660,20.389423,9.762839,events/second
1498980157,11271,22.222409,31.699994,20.786428,10.014072,events/second
1498980167,11597,22.423068,31.759484,21.157249,10.258104,events/second
1498980177,11921,22.612315,31.875085,21.529190,10.503878,events/second
1498980187,12240,22.785210,31.985094,21.892080,10.748025,events/second
1498980197,12566,22.964580,32.036634,22.233429,10.986181,events/second
1498980207,12894,23.141095,32.125678,22.573395,11.225018,events/second
1498980217,13219,23.306099,32.182504,22.898800,11.460095,events/second
1498980227,13545,23.467123,32.229328,23.213483,11.692569,events/second
1498980237,13875,23.629461,32.435267,23.551180,11.933584,events/second
1498980247,14202,23.781356,32.326865,23.818521,12.152017,events/second
1498980257,14524,23.920005,32.446195,24.122831,12.383487,events/second
1498980267,14851,24.062027,32.499232,24.407248,12.609076,events/second
1498980277,15000,23.916166,30.771670,24.315516,12.709192,events/second
1498980287,15212,23.873551,27.966590,23.915044,12.701724,events/second
1498980297,15674,24.218490,30.506040,24.587331,13.052058,events/second
1498980307,16153,24.578870,33.283794,25.374560,13.444849,events/second
1498980317,16636,24.934409,35.604408,26.129424,13.831089,events/second
1498980327,17123,25.285352,37.444672,26.833258,14.204217,events/second
1498980337,17598,25.608620,39.083656,27.530601,14.578767,events/second
1498980347,18079,25.931222,40.560580,28.224644,14.955797,events/second
1498980357,18562,26.247525,41.690511,28.869816,15.319833,events/second
1498980367,19044,26.553608,42.720540,29.510091,15.685356,events/second
1498980377,19547,26.880164,43.760024,30.162761,16.057957,events/second
1498980387,20068,27.222272,44.979595,30.868863,16.451791,events/second
1498980397,20588,27.553884,46.120041,31.574792,16.849010,events/second
1498980407,21062,27.815987,46.354913,32.100489,17.188834,events/second
1498980417,21543,28.080379,46.716845,32.644768,17.537029,events/second
1498980427,22036,28.353410,47.114046,33.190818,17.888001,events/second
1498980437,22525,28.614422,47.321061,33.692467,18.226224,events/second
1498980447,23010,28.863823,47.574973,34.194144,18.566243,events/second
1498980457,23508,29.123238,47.821888,34.685985,18.904722,events/second
1498980467,23975,29.338323,47.684206,35.089195,19.215109,events/second
1498980477,24465,29.576004,47.824797,35.532132,19.539800,events/second
1498980487,24957,29.810420,47.990499,35.970410,19.864222,events/second
1498980497,25449,30.039286,48.112215,36.390905,20.183939,events/second
1498980507,25928,30.247655,48.279210,36.810837,20.504555,events/second
1498980517,26419,30.465048,48.391143,37.210500,20.819425,events/second
1498980527,26901,30.667228,48.395060,37.577444,21.124192,events/second
1498980537,27403,30.887392,48.597310,37.974951,21.439953,events/second
1498980547,27924,31.123825,49.091539,38.428299,21.775432,events/second
1498980557,28446,31.356151,49.460642,38.856813,22.103873,events/second
1498980567,28931,31.543067,49.468602,39.205820,22.406599,events/second
1498980577,29420,31.730265,49.456792,39.539971,22.704860,events/second
1498980587,29901,31.904930,49.342528,39.840354,22.992105,events/second
1498980597,30000,31.672614,44.655042,39.171606,22.954040,events/second
1498980607,30460,31.822299,42.916834,38.945235,23.054977,events/second
1498980617,31095,32.149816,46.085037,39.750591,23.501919,events/second
1498980627,31734,32.474734,48.904390,40.559022,23.953863,events/second
1498980637,32313,32.731778,50.315463,41.139302,24.333224,events/second
1498980647,32941,33.033810,52.206478,41.843086,24.756082,events/second
1498980657,33563,33.323389,53.671587,42.497024,25.165366,events/second
1498980667,34206,33.627918,55.275736,43.205390,25.595594,events/second
1498980677,34847,33.924575,56.560055,43.874278,26.015558,events/second
1498980687,35486,34.213564,57.738041,44.540853,26.437506,events/second
1498980697,36127,34.498978,58.727513,45.185247,26.854755,events/second
1498980707,36787,34.796942,59.880438,45.877062,27.290563,events/second
1498980717,37425,35.068718,60.392609,46.445084,27.687361,events/second
1498980727,38070,35.341939,61.147901,47.063304,28.102975,events/second
1498980737,38708,35.603683,61.496197,47.598994,28.493006,events/second
1498980747,39347,35.861593,62.018103,48.166161,28.895286,events/second
1498980757,39992,36.120254,62.186112,48.655832,29.273244,events/second
1498980767,40634,36.371583,62.432595,49.152263,29.654745,events/second
1498980777,41276,36.618479,62.730792,49.651979,30.038648,events/second
1498980787,41920,36.862779,63.108582,50.161649,30.427161,events/second
1498980797,42559,37.098461,63.235832,50.612292,30.797051,events/second
1498980807,43187,37.320564,63.415832,51.064361,31.168356,events/second
1498980817,43711,37.449757,61.889744,51.146670,31.416125,events/second
1498980827,44325,37.653209,61.350151,51.379053,31.712205,events/second
1498980837,44875,37.799325,61.604711,51.760087,32.057929,events/second
1498980847,45513,38.016494,60.689884,51.878407,32.315000,events/second
1498980857,46154,38.232575,61.434726,52.327872,32.682743,events/second
1498980867,46797,38.446737,61.603389,52.664195,33.013268,events/second
1498980877,47432,38.650886,61.972591,53.035882,33.355666,events/second
1498980887,48071,38.854968,62.317096,53.401994,33.696496,events/second
1498980897,48707,39.053377,62.470556,53.729222,34.024647,events/second
1498980907,49349,39.253399,62.872306,54.101918,34.368008,events/second
1498980917,49964,39.428956,63.060140,54.429667,34.696532,events/second
1498980927,50000,39.148424,55.483149,53.110153,34.470719,events/second
1498980937,50647,39.346933,54.353439,52.917215,34.609992,events/second
1498980947,51398,39.622555,57.787241,53.697044,35.075085,events/second
1498980957,52180,39.917648,60.860844,54.487287,35.547185,events/second
1498980967,52967,40.212105,63.486255,55.255257,36.015213,events/second
1498980977,53726,40.481004,65.491783,55.954693,36.463622,events/second
1498980987,54510,40.764576,67.481102,56.690866,36.927040,events/second
1498980997,55317,41.061006,69.326213,57.436015,37.396423,events/second
1498981007,56079,41.319920,70.579121,58.093709,37.839543,events/second
1498981017,56872,41.597707,71.837340,58.772378,38.292122,events/second
1498981027,57657,41.865670,72.853148,59.418826,38.736369,events/second
1498981037,58432,42.122552,73.569721,60.011734,39.164708,events/second
1498981047,59210,42.377902,74.243457,60.601186,39.593792,events/second
1498981057,59995,42.634599,74.813762,61.171314,40.018135,events/second
1498981067,60751,42.867211,75.009305,61.660653,40.416816,events/second
1498981077,61543,43.121784,75.580370,62.219460,40.839852,events/second
1498981087,62322,43.363770,75.907689,62.727055,41.247151,events/second
1498981097,63098,43.600343,76.273035,63.237514,41.656562,events/second
1498981107,63880,43.837784,76.545827,63.721814,42.058179,events/second
1498981117,64667,44.075397,76.871409,64.210016,42.462001,events/second
1498981127,65440,44.300313,76.952557,64.642435,42.848053,events/second
1498981137,66201,44.514137,77.182438,65.093790,43.240925,events/second
1498981147,67017,44.761763,77.355904,65.521577,43.626260,events/second
1498981157,67853,45.019525,78.359903,66.124066,44.071267,events/second
1498981167,68582,45.203290,77.631098,66.371861,44.398588,events/second
1498981177,69362,45.418042,77.620561,66.737095,44.764392,events/second
1498981187,70143,45.630599,77.851527,67.145186,45.144837,events/second
1498981197,70921,45.838549,77.826347,67.491132,45.504549,events/second
1498981207,71700,46.044464,77.785205,67.822267,45.859161,events/second
1498981217,72492,46.256024,77.937159,68.181996,46.223126,events/second
1498981227,73286,46.466172,78.091375,68.536270,46.585255,events/second
1498981237,74080,46.673666,78.368392,68.908790,46.953367,events/second
1498981247,74879,46.881699,78.534434,69.253060,47.311926,events/second
1498981257,75000,46.665284,70.883405,67.955018,47.118644,events/second
1498981267,75557,46.721143,65.646372,66.894103,46.989136,events/second
1498981277,76458,46.987736,69.438834,67.664390,47.468772,events/second
1498981287,77377,47.262065,72.893436,68.461824,47.960782,events/second
1498981297,78293,47.531237,75.755637,69.217351,48.441901,events/second
1498981307,79226,47.807421,78.583348,70.036216,48.947492,events/second
1498981317,80192,48.100073,80.965429,70.822498,49.445378,events/second
1498981327,81095,48.351694,82.636423,71.515795,49.915480,events/second
1498981337,82025,48.616326,84.222307,72.219913,50.391522,events/second
1498981347,82930,48.863109,85.379859,72.858956,50.848011,events/second
1498981357,83859,49.121047,86.282307,73.460629,51.293928,events/second
1498981367,84777,49.369597,87.249631,74.087983,51.750331,events/second
1498981377,85687,49.610628,87.777408,74.632508,52.180701,events/second
1498981387,86600,49.850596,88.169147,75.146341,52.601926,events/second
