t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1498468884,1872,217.348891,100.600000,100.600000,100.600000,events/second
1498468894,5715,305.811471,143.043905,109.646225,103.647980,events/second
1498468904,10233,358.301802,186.222371,119.925112,107.176625,events/second
1498468914,15029,389.822338,231.065487,131.682070,111.280506,events/second
1498468924,19768,406.968693,267.319096,142.707993,115.223603,events/second
1498468934,24837,424.079716,304.193802,154.664784,119.557085,events/second
1498468944,29781,434.304780,334.011856,165.939174,123.745233,events/second
1498468954,35002,445.618675,360.111943,177.011799,127.942794,events/second
1498468964,40602,458.511704,390.791354,189.559477,132.713730,events/second
1498468974,46230,469.068449,416.219756,201.578263,137.392226,events/second
1498468984,51872,477.884593,438.918880,213.463003,142.107165,events/second
1498468994,57561,485.579838,458.405770,225.016962,146.789877,events/second
1498469004,63167,491.351457,474.328609,236.084441,151.385175,events/second
1498469014,68757,496.277021,488.239393,246.869188,155.956376,events/second
1498469024,74423,501.011298,499.065955,257.087382,160.404520,events/second
1498469034,80058,504.929318,509.242402,267.192149,164.878497,events/second
1498469044,85577,507.757616,516.353431,276.660151,169.200946,events/second
1498469054,91221,510.909049,523.530523,286.050793,173.553381,events/second
1498469064,96729,512.999495,530.515385,295.324540,177.921902,events/second
1498469074,102430,515.860491,533.466239,303.637978,182.019620,events/second
1498469084,108143,518.463755,538.970573,312.347552,186.298933,events/second
1498469094,113858,520.941802,544.211981,320.896116,190.572943,events/second
1498469104,119131,521.227537,542.397490,327.871947,194.366494,events/second
1498469114,124767,523.031786,545.539211,335.566346,198.434493,events/second
1498469124,130353,524.436996,547.074145,342.782120,202.382018,events/second
1498469134,135926,525.735725,549.303481,349.953174,206.350202,events/second
1498469144,141648,527.441049,551.950476,357.047478,210.327688,events/second
1498469154,147314,528.852015,554.172577,363.911034,214.262167,events/second
1498469164,152981,530.185097,556.693839,370.684454,218.198527,events/second
1498469174,158673,531.468373,557.884547,377.035533,222.023956,events/second
1498469184,164383,532.752045,560.231913,383.466405,225.904296,events/second
1498469194,170112,533.997037,561.941935,389.624787,229.720836,events/second
1498469204,175825,535.142300,563.326751,395.568106,233.490779,events/second
1498469214,181526,536.206827,564.742044,401.368924,237.236733,events/second
1498469224,187252,537.230997,565.690599,406.926950,240.923597,events/second
1498469234,192854,537.871664,565.289050,412.044125,244.482471,events/second
1498469244,198532,538.678927,565.745515,417.161310,248.058439,events/second
1498469254,204247,539.559648,566.203540,422.120980,251.598254,events/second
1498469264,209974,540.406042,567.117695,427.035637,255.138685,events/second
1498469274,215713,541.229453,568.004728,431.812366,258.647758,events/second
1498469284,221406,541.928506,568.240051,436.331795,262.084645,events/second
1498469294,227109,542.616069,568.747545,440.763437,265.503598,events/second
1498469304,232771,543.157761,568.593777,444.930458,268.844847,events/second
1498469314,238464,543.736277,568.370191,448.930653,272.138415,events/second
1498469324,244181,544.383439,569.057271,452.989251,275.459611,events/second
1498469334,249901,544.993006,569.614579,456.913754,278.743992,events/second
1498469344,255632,545.561929,569.628332,460.611354,281.958946,events/second
1498469354,261330,546.098030,570.124191,464.289718,285.172670,events/second
1498469364,267075,546.651464,570.307895,467.798069,288.334280,events/second
1498469374,272768,547.120770,570.432694,471.184846,291.458747,events/second
1498469384,278487,547.601041,570.701433,474.491161,294.558754,events/second
1498469394,284097,547.824238,570.200383,477.545190,297.576665,events/second
1498469404,289617,547.944617,567.352556,479.973323,300.383561,events/second
1498469414,295361,548.411667,567.284980,482.817955,303.326410,events/second
1498469424,300000,546.904837,567.063419,485.543948,306.228734,events/second
1498469434,300000,537.117199,495.118598,472.964774,303.976669,events/second
