t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1498556376,100,13.835516,20.000000,20.000000,20.000000,events/second
1498556386,674,39.283111,23.596128,20.756816,20.254454,events/second
1498556396,1341,49.378888,29.966443,22.207881,20.748943,events/second
1498556406,2020,54.363348,35.993347,23.748630,21.284326,events/second
1498556417,2668,56.576481,40.309519,25.074183,21.758460,events/second
1498556427,3648,63.820997,48.139355,27.229669,22.520689,events/second
1498556437,4860,72.367323,58.662083,30.154878,23.558227,events/second
1498556447,6067,78.631382,68.589029,33.211325,24.661385,events/second
1498556458,7321,83.997502,76.736780,36.112083,25.733596,events/second
1498556468,8546,87.956311,84.266954,39.049698,26.838250,events/second
1498556478,9809,91.538260,90.208070,41.801697,27.900776,events/second
1498556488,11068,94.471177,95.907483,44.607506,29.000154,events/second
1498556499,12323,96.908310,100.547061,47.279339,30.073091,events/second
1498556509,13621,99.308159,105.208061,50.018183,31.186164,events/second
1498556519,14998,101.916718,109.457362,52.735290,32.310053,events/second
1498556529,16315,103.813104,113.256475,55.413916,33.438994,events/second
1498556539,17653,105.607078,116.195356,57.937820,34.532475,events/second
1498556550,19004,107.265393,118.912703,60.428129,35.630444,events/second
1498556560,20364,108.804563,121.497558,62.904031,36.739305,events/second
1498556570,21598,109.543863,122.532916,65.050206,37.752003,events/second
1498556581,22883,110.460476,123.880724,67.216969,38.783619,events/second
1498556591,24063,110.798831,122.306298,68.742995,39.612392,events/second
1498556601,25267,111.231121,121.790401,70.387638,40.488522,events/second
1498556611,26479,111.634658,121.967182,72.122585,41.404324,events/second
1498556622,27693,112.045482,121.754738,73.711754,42.279394,events/second
1498556632,28987,112.720879,123.203462,75.591143,43.259863,events/second
1498556642,30312,113.456127,124.014642,77.320374,44.199661,events/second
1498556652,31619,114.083200,125.139479,79.092933,45.163148,events/second
1498556663,32930,114.675816,126.021889,80.786043,46.108435,events/second
1498556673,34268,115.319368,127.409791,82.566420,47.091730,events/second
1498556683,35626,115.986144,128.592927,84.286163,48.063168,events/second
1498556693,37020,116.724359,130.209782,86.080715,49.068077,events/second
1498556703,38386,117.331313,130.969478,87.690764,50.019770,events/second
1498556714,39760,117.926316,131.961165,89.323240,50.986340,events/second
1498556724,41171,118.594660,133.256680,90.997736,51.974327,events/second
1498556734,42557,119.154775,134.094878,92.559088,52.931592,events/second
1498556744,43938,119.670782,134.828077,94.078133,53.881488,events/second
1498556755,45320,120.161139,135.143589,95.479269,54.797767,events/second
1498556765,46718,120.669297,136.150127,96.997187,55.759034,events/second
1498556775,48110,121.135881,136.604904,98.377564,56.679929,events/second
1498556786,49533,121.653965,137.182406,99.755004,57.604978,events/second
1498556796,50000,119.858845,127.812368,99.037502,57.832063,events/second
