conusers,conrate,ausers,arate,cusers,crate,dusers,drate,db1,db2,db3,ratio
45,335.204,15,111.974,15,112.076,15,111.922,137.264,167.578,151.004,1
60,439.82,30,219.248,15,113.964,15,113.928,187.742,149.958,208.568,1.92
75,561.708,45,336.254,15,114.498,15,114.504,194.726,184.98,301.588,2.94
90,643.452,60,379.096,15,114.14,15,114.178,192.228,171.202,307.336,3.32
105,772.806,75,393.122,15,95.15,15,95.24,186.57,161.648,309.758,4.13
120,847.28,90,404.55,15,78.756,15,78.562,175.882,142.348,327.074,5.14
135,891.842,105,415.506,15,67.678,15,67.694,167.308,126.328,339.726,6.14
150,920.51,120,416.2,15,59.708,15,59.516,172.794,112.518,331.422,6.97
165,948.762,135,414.048,15,51.876,15,52.058,171.726,97.074,332.88,7.98
180,961.01,150,422.424,15,46.394,15,46.126,170.608,88.642,341.234,9.11
