ausers,arate,crate,drate,total,conrate,ratio,db1,db2,db3
15,111.97,112.08,111.92,335.97,335.2,1,137.26,167.58,151
30,219.25,113.96,113.93,447.14,439.82,1.92,187.74,149.96,208.57
45,336.25,114.5,114.5,565.26,561.71,2.94,194.73,184.98,301.59
60,379.1,114.14,114.18,607.41,643.45,3.32,192.23,171.2,307.34
75,393.12,95.15,95.24,583.51,772.81,4.13,186.57,161.65,309.76
90,404.55,78.76,78.56,561.87,847.28,5.14,175.88,142.35,327.07
105,415.51,67.68,67.69,550.88,891.84,6.14,167.31,126.33,339.73
120,416.2,59.71,59.52,535.42,920.51,6.97,172.79,112.52,331.42
135,414.05,51.88,52.06,517.98,948.76,7.98,171.73,97.07,332.88
150,422.42,46.39,46.13,514.94,961.01,9.11,170.61,88.64,341.23
